name,degree,strength,community,outdegree
Searle J,146,211,1,0
James W,163,191,1,0
Mcdowell J,131,184,1,4
Chalmers D,113,173,1,0
Tye M,98,158,1,0
Fodor J,87,119,1,0
Horgan T,76,117,1,101
Block N,90,113,1,86
Nagel T,101,113,1,0
Dretske F,86,111,1,0
Hume D,93,111,1,0
Prinz J,75,108,1,0
Siewert C,66,108,1,0
Kriegel U,82,106,1,126
Strawson G,73,99,1,53
Davidson D,73,91,1,0
Peacocke C,75,89,1,3
Harman G,66,87,1,0
Goldman A,59,86,1,0
Putnam H,68,86,1,0
Martin M,52,78,1,10
Russell B,61,78,1,0
Lewis D,67,77,1,0
Bayne T,66,75,1,79
Crane T,62,73,1,0
Siegel S,58,72,1,8
Smith A,63,71,1,0
Ryle G,61,68,1,0
Strawson P,57,67,1,0
Shoemaker S,50,66,1,0
Pitt D,44,63,1,53
Austin J,54,63,1,0
Carruthers P,48,63,1,0
Lycan W,47,63,1,0
Campbell J,48,61,1,0
Smith J,50,60,1,90
Goldie P,40,59,1,0
Byrne A,47,58,1,0
Mcginn C,55,57,1,0
Jackson F,50,56,1,0
Locke J,51,55,1,5
Burge T,44,55,1,0
Moore G,42,52,1,0
Rosenthal D,30,50,1,0
Bermudez J,32,48,1,18
Armstrong D,41,48,1,0
Evans G,42,45,1,0
Chisholm R,38,44,1,0
Kripke S,33,44,1,0
Thomasson A,30,41,1,20
Frankfurt H,28,41,1,0
Bratman M,27,40,1,0
Hurlburt R,18,39,1,0
Levine J,35,38,1,0
Schwitzgebel E,35,37,1,142
Chudnoff E,28,36,1,80
Johnston M,30,36,1,0
Pylyshyn Z,30,36,1,0
Montague M,28,35,1,59
Kim J,29,35,1,0
Millikan R,23,35,1,0
Pacherie E,28,34,1,100
Anscombe E,32,34,1,0
Pautz A,25,33,1,12
Williamson T,26,33,1,1
Hill C,27,32,1,7
Dainton B,25,32,1,0
Boghossian P,25,31,1,0
Dehaene S,28,31,1,0
Schmid H,18,30,1,39
Dodd J,27,30,1,27
Wegner D,26,30,1,0
Brewer B,25,29,1,14
Van M,26,28,1,71
Ayer A,27,28,1,0
Blackburn S,25,28,1,0
Loar B,25,28,1,0
Walton K,21,28,1,0
Fish W,25,27,1,0
Kenny A,24,27,1,0
Oshaughnessy B,25,27,1,0
Smith M,25,27,1,0
Titchener E,19,27,1,0
Wollheim R,22,27,1,0
Hilbert D,16,25,1,0
Huemer M,22,25,1,0
Travis C,20,25,1,0
Devignemont F,18,24,1,25
