community,sum.degree,mean.degree,sum.strength,mean.strength,mean.eigen
1,9207,6.76985294117647,11078,8.145588235294118,0.0023064908705775367
2,7368,5.453737971872687,9328,6.904515173945226,0.0044959354976839205
3,6,1.5,6,1.5,1.6981616478787114e-4
4,4800,5.172413793103448,5715,6.158405172413793,0.0017300435512258314
5,1,0.5,2,1,0
6,10743,7.745493871665465,14942,10.772891131939438,0.013107437352608869
7,1283,3.6242937853107344,1497,4.228813559322034,0.0015211968749792011
8,311,2.591666666666667,371,3.091666666666667,0.001238808640274475
9,650,2.549019607843137,775,3.0392156862745097,0.001106911720789873
10,3,0.75,7,1.75,0
11,48,2.0869565217391304,60,2.608695652173913,7.400773732063889e-4
12,296,2.208955223880597,359,2.6791044776119404,0.0011019696056336463
13,1391,3.4688279301745637,1610,4.014962593516209,0.002041330231977694
14,447,2.212871287128713,549,2.717821782178218,7.018080457059745e-4
15,8098,4.958971218616044,10056,6.1579914268218,0.003763517299312004
16,9107,5.713299874529485,11747,7.369510664993727,0.005375167690137235
