name,degree,community
HENRY M,83,1
DESCARTES R,52,1
COURTINE J,20,1
BERNASCONI R,13,1
SCHOPENHAUER A,13,1
SEBBAH F,12,1
KUHN R,10,1
TILLIETTE X,8,1
WEIL S,8,1
ECKHART M,7,1
STAUDIGL M,6,1
ALQUIE F,6,1
CANULLO C,6,1
LAOUREUX S,5,1
LONGNEAUX J,5,1
HANSON J,5,1
AUDI P,5,1
BAUMAN Z,5,1
RIQUIER C,4,1
CALCAGNO A,4,1
COLETTE J,4,1
DUFOURKOWALSKA G,4,1
DUMERY H,4,1
ETZKORN G,4,1
MAESSCHALCK M,4,1
MARION J,113,2
JANICAUD D,54,2
CAPUTO J,47,2
CHRETIEN J,26,2
AUGUSTINE,24,2
ROMANO C,23,2
KEARNEY R,22,2
NANCY J,22,2
BLANCHOT M,18,2
GSCHWANDTNER C,17,2
GILSON E,16,2
LACOSTE J,16,2
HORNER R,15,2
AQUINAS,15,2
ZARADER M,14,2
KOSKY J,14,2
FALQUE E,13,2
HART K,13,2
CARLSON T,11,2
MILBANK J,11,2
PASCAL B,11,2
RAHNER K,11,2
RICOEUR P,114,3
RICHIR M,33,3
TENGELYI L,21,3
GREISCH J,19,3
MALDINEY H,14,3
GONDEK H,12,3
SCHNELL A,10,3
HOUSSET E,10,3
MICHEL J,7,3
BARTH K,7,3
DANTO A,7,3
DOSSE F,5,3
VAN K,5,3
CAPEK J,4,3
FORESTIER F,4,3
DAVIDSON S,4,3
VARELA P,4,3
NABERT J,4,3
RICOUER P,4,3
THEVENAZ P,4,3
TREANOR B,4,3
VALLEE M,4,3
ARENDT H,43,4
AGAMBEN G,24,4
YOUNGBRUEHL E,4,4
DIELS H,3,4
HUNTINGTON S,3,4
ILLICH I,3,4
NAESS A,3,4
ANDERS G,2,4
DIEHM C,2,4
ESQUIROL J,2,4
FILIPPI S,2,4
GAGNON R,2,4
HAMACHER W,2,4
HARVEY S,2,4
KATEB G,2,4
RODRIGUEZ S,2,4
TILLIETE X,2,4
BROWN C,1,4
INGRAM J,1,4
MORUZZI N,1,4
RANLY E,1,4
TONNIES F,1,4
TOPOLSKI A,1,4
VANNI R,1,4
KISIEL T,42,5
POGGELER O,28,5
DILTHEY W,14,5
OTTO R,13,5
VATTIMO G,13,5
ESCUDERO J,12,5
RODRIGUEZ R,12,5
SCHLEIERMACHER F,12,5
CASPER B,11,5
HERRMANN F,10,5
DENKER A,8,5
RICKERT H,8,5
OTT H,7,5
BULTMANN R,7,5
FERRARIS M,7,5
LEHMANN K,7,5
ESPOSITO C,6,5
JUNG M,6,5
LASK E,6,5
LUTHER M,6,5
PAPENFUSS D,6,5
SOMMER C,6,5
VIGO A,6,5
GADAMER H,89,6
GRONDIN J,22,6
FIGAL G,18,6
VOLPI F,14,6
RILKE R,13,6
RIEDEL M,7,6
RISSER J,6,6
AUBENQUE P,5,6
BERTI E,5,6
VEDDER B,5,6
BRAGUE R,4,6
JAEGER W,4,6
SCHULZ W,4,6
KOMEL D,3,6
BURNET J,3,6
CELAN P,3,6
ESCUDERO A,3,6
HERMANN F,3,6
KRAMER H,3,6
LOTZ J,3,6
MARTINEAU E,3,6
ROWE,3,6
SEUBOLD G,3,6
WEINSHEIMER J,3,6
WIERCINSKI A,3,6
KIERKEGAARD S,47,7
WESTPHAL M,19,7
ELIADE M,10,7
TAYLOR M,5,7
LEVI P,5,7
GOUWENS D,4,7
HONG H,4,7
WARD G,4,7
PATTISON G,3,7
HALL R,3,7
FERREIRA M,3,7
HARRIES K,3,7
LOGSTRUP K,3,7
MURDOCH I,3,7
SCHECHTMAN M,3,7
WALSH S,3,7
WOLTERSTORFF N,3,7
