name,degree,community
HUSSERL E,451,1
ZAHAVI D,117,1
DRUMMOND J,62,1
STEINBOCK A,57,1
CROWELL S,45,1
SOKOLOWSKI R,74,2
HART J,35,2
PRUFER T,4,2
LAYCOCK S,3,2
CASTANEDA H,3,2
CRAMER W,3,2
JOYCE J,3,2
SPIEGELBERG H,73,3
GURWITSCH A,53,3
SCHUTZ A,49,3
WALDENFELS B,45,3
CAIRNS D,43,3
BERNET R,99,4
FINK E,91,4
MORAN D,56,4
CARR D,49,4
HUSSERL,46,4
MOHANTY J,80,5
SMITH D,47,5
SMITH B,42,5
QUINE W,27,5
SIMONS P,23,5
LANDGREBE L,60,6
HELD K,58,6
STROKER E,40,6
CLAESGES U,21,6
HOPKINS B,18,6
LEIBNIZ G,18,6
KERN I,73,7
LOHMAR D,65,7
HUA X,48,7
LUFT S,46,7
WELTON D,35,7
SCHUHMANN K,74,8
BRENTANO F,66,8
BOEHM R,35,8
FREGE G,29,8
WILLARD D,27,8
FOLLESDAL D,43,9
BECKER O,19,9
WEYL H,18,9
TIESZEN R,17,9
EDMUND H,17,9
COHEN H,11,10
SHPET G,10,10
MISCH G,9,10
GETHMANN C,8,10
HAARDT A,6,10
SHCHEDRINA T,6,10
LIPPS H,6,10
SCHELER M,69,11
STEIN E,48,11
MELLE U,46,11
INGARDEN R,43,11
MULLIGAN K,38,11
CASSIRER E,27,12
ORTH E,22,12
ROMBACH H,9,12
MOCKEL C,5,12
BANFI A,5,12
HOLZHEY H,5,12
BUHLER K,5,12
