name,degree,community
MERLEAUPONTY M,263,1
BARBARAS R,53,1
WALDENFELS B,32,1
DILLON M,31,1
CASEY E,23,1
CANGUILHEM G,16,1
CARBONE M,16,1
LEDER D,16,1
LANDES D,14,1
GOLDSTEIN K,14,1
PROUST M,14,1
MADISON G,13,1
MORRIS D,12,1
BIMBENET E,12,1
SOBCHACK V,11,1
FOTI V,10,1
RODRIGO P,9,1
DESAINTAUBERT E,9,1
JOHNSON G,9,1
KWANT R,9,1
FANON F,19,2
ALCOFF L,17,2
WEISS G,13,2
AHMED S,11,2
SULLIVAN S,11,2
SCOTT J,10,2
GORDON L,9,2
YANCY G,8,2
LUGONES M,7,2
ALSAJI A,6,2
DUBOIS W,6,2
OLKOWSKI D,5,2
ANZALDUA G,5,2
DUSSEL E,5,2
MILLS C,5,2
ZEILER K,4,2
SALAMON G,4,2
FRYE M,4,2
GILLIGAN C,4,2
GOLDBERG D,4,2
MACKENZIE C,4,2
SCHUES C,4,2
LEFORT C,19,3
MORIN E,6,3
VALERY P,6,3
ABENSOUR M,5,3
FLYNN B,4,3
GORZ A,4,3
LABELLE G,3,3
BANNAN J,3,3
COLLIN F,3,3
MICHEL D,3,3
TRONTO J,3,3
BIRULES F,2,3
MACHIAVELLI N,2,3
MANENT P,2,3
PAREKH S,2,3
RENAUD B,2,3
SAINTEXUPERY A,2,3
VUILLEMIN J,2,3
LE M,1,3
BLUM L,1,3
BRAVERMAN H,1,3
DALY M,1,3
DEJOURS C,1,3
INVITTO G,1,3
LAROCHELLE M,1,3
MARTIN P,1,3
PACHOUD B,1,3
POLTIER H,1,3
RENAULT E,1,3
ROBINET A,1,3
SANCHEZ M,1,3
BUTLER J,53,4
YOUNG I,31,4
DEBEAUVOIR S,31,4
IRIGARAY L,24,4
MOI T,15,4
KRUKS S,13,4
BOURDIEU P,12,4
KRISTEVA J,12,4
BERGOFFEN D,10,4
FISHER L,8,4
SHUSTERMAN R,8,4
SIMONS M,8,4
STOLLER S,7,4
ALLEN J,7,4
DIPROSE R,7,4
BAUER N,6,4
ARP K,6,4
BARTKY S,6,4
LANGER M,6,4
BORDO S,5,4
LE D,5,4
LLOYD G,5,4
LUNDGRENGOTHLIN E,5,4
MARRATTO S,5,4
DERRIDA J,78,5
DELEUZE G,65,5
BERGSON H,43,5
LAWLOR L,22,5
BENJAMIN W,19,5
BADIOU A,18,5
LEVISTRAUSS C,15,5
DESCOMBES V,11,5
RANCIERE J,8,5
WORMS F,6,5
JANKELEVITCH V,6,5
SPIVAK G,6,5
COLEBROOK C,5,5
DELANDA M,5,5
ERIBON D,5,5
HALLWARD P,5,5
THIERRY Y,5,5
BEAULIEU A,4,5
MULLARKEY J,4,5
BALIBAR E,4,5
BHABHA H,4,5
NAAS M,4,5
SOMERSHALL H,4,5
JAY M,8,6
CRARY J,5,6
POSTER M,5,6
WHITE H,5,6
CROWTHER P,4,6
ASSMANN A,4,6
GUMBRECHT H,4,6
ANKERSMIT F,3,6
ELKINS J,3,6
HALBWACHS M,3,6
JENKINS K,3,6
ROTH M,3,6
WILLIAMS F,3,6
ASSMANN J,2,6
BAUMGARTEN A,2,6
CUSSET F,2,6
DOMANSKA E,2,6
LACAPRA D,2,6
NORA P,2,6
POULSEN E,2,6
RENAULT A,2,6
RUNIA E,2,6
SEEL M,2,6
SHERIDAN A,2,6
WARNOCK M,2,6
FREUD S,42,7
LACAN J,30,7
LYOTARD J,23,7
DUFRENNE M,14,7
CASTORIADIS C,7,7
PONTALIS J,6,7
SILVERMAN H,5,7
SMITH C,4,7
DUPORTAIL G,4,7
GREEN A,4,7
ROUDINESCO E,4,7
BREUER J,3,7
NEU J,3,7
BRADLEY F,2,7
CHARCOT J,2,7
FEDIDA P,2,7
FISHER A,2,7
FRECHTMAN B,2,7
GREENBERG J,2,7
HOCHBERG J,2,7
KOCH G,2,7
MCQUILLAN M,2,7
NOUVET C,2,7
ROYLE N,2,7
WORDSWORTH W,2,7
MEILLASSOUX Q,7,8
MARKS L,6,8
BARKER J,5,8
LANGER S,5,8
BORDWELL D,4,8
CASEBIER A,4,8
FRAMPTON D,4,8
HANICH J,4,8
WOOLF V,4,8
DELRIO E,3,8
ELSAESSER T,3,8
FENVES P,3,8
GRAY J,3,8
LAINE T,3,8
RODOWICK D,3,8
SMITH G,3,8
STEIN G,3,8
JACQUETTE D,2,8
AYFRE A,2,8
BELAVAL Y,2,8
BERGMAN I,2,8
BOWERS J,2,8
COPLAN A,2,8
DEKOVEN M,2,8
FERRY L,2,8
FROST L,2,8
GAUT B,2,8
GRODAL T,2,8
HANSEN M,2,8
JANAWAY C,2,8
JARMAN D,2,8
KOSSLER M,2,8
LEROIGOURHAN A,2,8
MONDRIAN P,2,8
MUNSTERBERG H,2,8
