community,sum.degree,mean.degree,sum.strength,mean.strength
1,7654,8.283549783549784,9953,10.771645021645021
2,5675,8.664122137404581,7178,10.9587786259542
3,5594,7.652530779753762,7101,9.714090287277703
4,3674,7.3041749502982105,4430,8.807157057654075
5,8807,10.38561320754717,10665,12.576650943396226
6,477,7.95,593,9.883333333333333
7,9612,10.504918032786886,13391,14.634972677595629
8,277,6.441860465116279,338,7.8604651162790695
9,21,3,24,3.4285714285714284
10,8,1.6,12,2.4
11,41,3.727272727272727,50,4.545454545454546
