Source,Target,Weight
HOMAN C,BERTOLINI S,1
SHESTOVA E,BERTOLINI S,1
TERZI P,BERTOLINI S,1
ALVIN J,BRUZINA R,2
BADGER L,BRUZINA R,1
BANHAM G,BRUZINA R,1
BEHNKE E,BRUZINA R,1
BERTOLINI S,BRUZINA R,1
BRUZINA R,BRUZINA R,5
DASTUR F,BRUZINA R,1
DEPRAZ N,BRUZINA R,2
DUPONT C,BRUZINA R,1
GIUBIATO G,BRUZINA R,1
GIUBILATO G,BRUZINA R,2
GRONDIN J,BRUZINA R,1
GRONDIN V,BRUZINA R,1
HART J,BRUZINA R,1
HENRY M,BRUZINA R,1
HIMANKA J,BRUZINA R,1
HOBBS D,BRUZINA R,1
HOMAN C,BRUZINA R,2
IKEDA Y,BRUZINA R,1
INVERSO H,BRUZINA R,1
LEE E,BRUZINA R,1
LORELLE P,BRUZINA R,2
MASI F,BRUZINA R,1
MORAN D,BRUZINA R,1
NIEL L,BRUZINA R,1
ONATE A,BRUZINA R,1
PLOTKA W,BRUZINA R,2
ROGGERO J,BRUZINA R,1
SAKAKIBARA T,BRUZINA R,1
SHESTOVA E,BRUZINA R,1
SMYTH B,BRUZINA R,4
TERZI P,BRUZINA R,3
VECINO M,BRUZINA R,1
WEBER J,BRUZINA R,2
BARBER M,CAIRNS D,2
BEGOUT B,CAIRNS D,1
BEHNKE E,CAIRNS D,3
BERNASCONI R,CAIRNS D,1
BESOLI S,CAIRNS D,1
BOJANIC P,CAIRNS D,1
BRIEDIS M,CAIRNS D,1
BRISART R,CAIRNS D,1
BRUDZINSKA J,CAIRNS D,1
BRUZINA R,CAIRNS D,1
CHERNAVIN G,CAIRNS D,1
CORA G,CAIRNS D,1
DASTUR F,CAIRNS D,1
DE P,CAIRNS D,1
DONOHOE J,CAIRNS D,1
DOYON M,CAIRNS D,1
DUPONT C,CAIRNS D,1
DWYER D,CAIRNS D,1
EDIE J,CAIRNS D,1
EMBREE L,CAIRNS D,4
FALCON L,CAIRNS D,1
FLYNN T,CAIRNS D,1
GIUBIATO G,CAIRNS D,1
GONNELLA S,CAIRNS D,1
GROS A,CAIRNS D,1
HAUSER K,CAIRNS D,2
HIMANKA J,CAIRNS D,1
HOLMES R,CAIRNS D,1
HOMAN C,CAIRNS D,1
HOPKINS B,CAIRNS D,2
HUGHES D,CAIRNS D,1
HUSSERL E,CAIRNS D,1
IJSSELING S,CAIRNS D,1
INVERSO H,CAIRNS D,1
JARAN F,CAIRNS D,1
KRISTJANSSON K,CAIRNS D,1
KWAN T,CAIRNS D,1
LEASK I,CAIRNS D,1
LEE N,CAIRNS D,1
LOZAR J,CAIRNS D,1
MICHEL B,CAIRNS D,1
MOONEY T,CAIRNS D,1
MORAN D,CAIRNS D,2
NEMETH T,CAIRNS D,1
NI L,CAIRNS D,1
NIEL L,CAIRNS D,1
PINTOS P,CAIRNS D,1
PLOTKA W,CAIRNS D,1
RABANAQUE L,CAIRNS D,2
ROGGERO J,CAIRNS D,1
ROPERO N,CAIRNS D,1
SEPP H,CAIRNS D,2
SMYTH B,CAIRNS D,1
SOBERANO R,CAIRNS D,1
SOKOLOWSKI R,CAIRNS D,1
THEODOROU P,CAIRNS D,1
