Full Name,Short Name,
[ANONYMOUS],NA,
A CORRECTION,A C,
A LUDW U FREIB HA,A L,
AA VV,AA V, 
AA XV,AA X,
AALL A,AALL A,
AALTOLA ELISA,AALTOLA E,
AARON JANE,AARON J,
AARONS L,AARONS L,
AARONSON S,AARONSON S,
AARSETH ESPEN,AARSETH E,
AARSLEFF HANS,AARSLEFF H,
AARTS H,AARTS H,
AARTS J,AARTS J,
AAVV,AAVV,
ABAD F,ABAD F,
ABALO F,ABALO F,
ABATH AJ,ABATH A,
ABBAGNANO N,ABBAGNANO N,
ABBAGNANO NICOLA,ABBAGNANO N,
ABBEY JENNIFER,ABBEY J,
ABBEY R,ABBEY R,
ABBEY RUTH,ABBEY R,
ABBLETT M,ABBLETT M,
ABBOTT E A,ABBOTT E,
ABBOTT LF,ABBOTT L,
ABBOTT M,ABBOTT M,
ABBOTT MN,ABBOTT M,
ABDALLAH S,ABDALLAH S,
ABDULLAH MA,ABDULLAH M,
ABDULMASIH MARGUERITE,ABDULMASIH M,
ABE M,ABE M,
ABEL G,ABEL G,
ABEL K,ABEL K,
ABEL OLIVIER,ABEL O,
ABELA AV,ABELA A,
ABELL,ABELL,
ABELL C,ABELL C,
ABELLA M,ABELLA M,
ABELLON PAMELA,ABELLON P,
ABELLON PC,ABELLON P,
ABELS H,ABELS H,
ABENSOR M,ABENSOR M,
ABENSOUR M,ABENSOUR M,
ABENSOUR MIGUEL,ABENSOUR M,
ABERCROMBIE STANLEY,ABERCROMBIE S,
ABERDEIN A,ABERDEIN A,
ABERNETHY B,ABERNETHY B,
ABETTAN C,ABETTAN C,
ABHAYAKARAGUPTA,ABHAYAKARAGUPTA,
ABIKOFF H,ABIKOFF H,
ABIRACHED JM,ABIRACHED J,
ABISH WALTER,ABISH W,
ABLALI D,ABLALI D,
ABOULAFIA M,ABOULAFIA M,
ABOY CARLES G,ABOY C,
ABRAHAM A,ABRAHAM A,
ABRAHAM N,ABRAHAM N,
ABRAHAM NICHOLAS,ABRAHAM N,
ABRAHAM R,ABRAHAM R,
ABRAM,ABRAM,
ABRAM D,ABRAM D,
ABRAM DAVID,ABRAM D,
