Source,Target,Weight
MAGRI E,AALTOLA E,1
WARKENTIN T,AALTOLA E,1
FALLON F,AARONSON S,2
MONTEMAYOR C,AARONSON S,1
SEUREN PAM,AARSLEFF H,2
CHRISTENSEN J,AARTS H,1
DOULATOVA M,AARTS H,1
PACHERIE E,AARTS H,2
DE NATOLE D,AAVV,1
FISCHER FD,AAVV,1
COLOMER JM,ABBAGNANO N,1
FERRARI M,ABBAGNANO N,2
MAIORCA B,ABBAGNANO N,1
SANTUCCI A,ABBAGNANO N,1
VECA S,ABBAGNANO N,1
GARCIA SER,ABBEY R,2
MEIJER M,ABBEY R,1
VARGA S,ABBEY R,1
BAERT P,ABBOTT A,1
SCHULTZ CKN,ABBOTT A,1
MCDERMOTT D,ABBOTT L,1
MONSERRAT J,ABBOTT L,1
COLLINS A,ABBOTT M,1
GILBERT F,ABBOTT M,1
CIFONE M,ABE M,1
DRISCOLL ES,ABE M,1
MACHADO RP,ABE M,1
MOSKALEWICZ M,ABE M,1
CAPUTO A,ABEL O,1
FEYLES M,ABEL O,1
CHASID A,ABELL C,1
KEMP G,ABELL C,1
BARRIENTOS JD,ABELLA M,1
DE NIGRIS F,ABELLA M,1
MORALES LAC,ABELLA M,1
HONRUBIA AD,ABELLAN J,1
ROPERO NE,ABELLAN J,2
BELTRAMIN JB,ABENSOUR M,1
CIARAMELLI F,ABENSOUR M,1
FLORES PFR,ABENSOUR M,1
GLEONEC A,ABENSOUR M,2
LIEBSCH B,ABENSOUR M,1
NELSON B,ABENSOUR M,2
OLIVARES CG,ABENSOUR M,2
SCHRIJVERS J,ABENSOUR M,1
TERREBLANCHE SJ,ABENSOUR M,1
TORRALBO AP,ABENSOUR M,1
BOURGEOIS PL,ABOULAFIA M,1
GENIUSAS S,ABOULAFIA M,1
ABRAHAM A,ABRAHAM A,1
BUTNARU D,ABRAHAM A,1
CROUT P,ABRAHAM A,1
DIREK Z,ABRAHAM N,1
GRANT S,ABRAHAM N,1
LAMBERT G,ABRAHAM N,1
POPA D,ABRAHAM N,1
ASHLEY MA,ABRAM D,1
CLARK T,ABRAM D,1
HAILWOOD S,ABRAM D,1
HOWARD P,ABRAM D,1
JAMES SP,ABRAM D,2
KEE H,ABRAM D,1
MULLER RM,ABRAM D,1
PREECE B,ABRAM D,1
SHORES C,ABRAM D,1
SMITH SJ,ABRAM D,1
SPARROW T,ABRAM D,1
TAMARI S,ABRAM D,1
THOMPSON E,ABRAM D,1
TOADVINE T,ABRAM D,1
MOTTOLESE M,ABRAMS D,1
PORAT O,ABRAMS D,1
RODRIGUEZ IO,ABRAMS D,1
SALICE A,ABRAMS D,1
SEEMAN D,ABRAMS D,1
BARBARAS R,ABRAMS E,3
JACQUET F,ABRAMS E,1
MENSCH JR,ABRAMS E,1
RICOEUR P,ABRAMS E,1
RITTER M,ABRAMS E,1
RODRIGUEZ IO,ABRAMS E,2
TARDIVEL E,ABRAMS E,1
ASPIUNZA J,ABRAMS M,1
HENRIKSSON C,ABRAMS M,1
MA MQ,ABRAMS M,1
NEWELL WR,ABRAMS M,1
SASS LA,ABRAMS M,1
ARVIDSON PS,ABRAMS R,1
SASS LA,ABRAMS R,1
CUEVAS JMR,ABROMEIT,1
DE LARA F,ABROMEIT,1
ABROMEIT J,ABROMEIT J,2
ANGUS I,ABROMEIT J,1
AL-SAJI A,ABULUGHOD L,1
STAUDIGL M,ABULUGHOD L,1
ASHLEY MA,ACAMPORA R,1
CALCAGNO A,ACAMPORA R,1
HUTH M,ACAMPORA R,1
SMITH SJ,ACAMPORA R,1
URBAN P,ACAMPORA R,2
WARKENTIN T,ACAMPORA R,1
HAGGARD P,ACH N,1
NAHMIAS E,ACH N,1
AFOLAYAN A,ACHEBE C,1
CHUKWUELOBE MC,ACHEBE C,1
ANZALONE M,ACHELLA S,1
ARAGONA M,ACHELLA S,1
GARCIA-ALANDETE J,ACHENBACH G,2
COECKELBERGH M,ACHTERHUIS H,1
DE CARVALHO HBA,ACHTERHUIS H,1
ILUNDAIN-AGURRUZA J,ACKER W,1
OBERT M,ACKER W,1
TUSSEAU G,ACKERMAN B,2
ZNOJ M,ACKERMAN B,1
DUQUE CAL,ACKERMANN A,1
MORATALLA TD,ACKERMANN A,1
