A CORRECTION,NA,Not a reference
A LUDW U FREIB HA,NA,Association
A VARZI,VARZI A,
AA VV,NA,Reference mat
AA XV,NA,Reference mat
AAGARD JESPER,AAGAARD J,
AAVV,NA,"Spanish for ""Various Authors"""
ABELL,ABELL C,
ABENSOR M,ABENSOUR M,
ABOY CARLES G,ABOYCARLES G,
ABRAM,ABRAM D,
ABRAMS DE ERIKA,ABRAMS E,
ABROMEIT,ABROMEIT J,
ABROMHEIT JOHN,ABROMEIT J,
ABTEILUNG Z,NA,Reference mat
ADAM SMITH,SMITH A,
ADDITIONALLY COATES,NA,Probably a mistake
ADELGUNDIS JAEGERSCHMID OSBADELGUNDIS,ADELGUNDISJAEGERSCHMID O,
ADOMO THEODOR W,ADORNO T,
ADORNO,ADORNO T,
ADORNOS THEODOR W,ADORNO T,
ADRIAN ED,ESCUDERO J,
ADRIAN ESCLIDERO J,ESCUDERO J,
ADRIAN ESCUDERO J,ESCUDERO J,
ADRIAN ESCUDERO JESUS,ESCUDERO J,
ADRIAN J,ESCUDERO J,
ADRIAN JESUS,ESCUDERO J,
AFONSKIY MONAKH SIMEON,SIMEON A,
AG FRANC PRESS,NA,Publisher
AGAMBEN,AGAMBEN G,
AGIS VILLAVERDE M,AGISVILLAVERDE M,
AGIS VILLAVERDE MARCELINO,AGISVILLAVERDE M,
AGUILERA VITA S,AGUILERAVITA S,
AGUILERA VITA SERGIO,AGUILERAVITA S,
AGUIRRE-GARCIA JC,AGUIRREGARCIA J,
AGUSTIN,AUGUSTINE,
AGUSTIN DE HIPONA SAN,AUGUSTINE,
AGUSTIN HIPONA SANTO,AGUSTIN D,
AGUSTIN SAN,AGUSTIN D,
AHUMADA CRISTI M,AHUMADACRISTI M,
AI-SAJI A,ALSAJI A,
AIMOLA DAVIES A M,AIMOLADAVIES A,
AKAD AUSGABE,NA,Akademie Ausgabe
AKIRA HIRAKAWA,HIRAKAWA A,
AL BAQLI RUZBIHAN,ALBAQLI R,
AL GHAZALI,ALGHAZALI A,
AL-SAJI A,ALSAJI A,
ALAIN,ALAIN E,
ALALGHER S,GALLAGHER S,
ALBERT CAMUS,CAMUS A,
ALBERTRAZZI L,ALBERTAZZI L,
ALCOFF,ALCOFF L,
ALCOFFLM,ALCOFF L,
ALCOHOLICS ANONYMOUS,NA,Association
ALDERSON-DAY B,ALDERSONDAY B,
ALEIDA,ASSMANN A,
ALEIDA ASSMANN,ASSMANN A,
ALES BELLO A,ALESBELLO A,
ALES BELLO ANGELA,ALESBELLO A,
ALESBELLO A,ALESBELLO A,
ALEXADNER W,ALEXANDER W,
ALFRED S,SCHÃœTZ A,
ALGHAZALI,ALGHAZALI A,
ALLAN WOLTER OFM,WOLTER A,
ALLES BELLO A,ALESBELLO A,
ALLMAN MJ,ALLMAN J,
ALMOND,ALMOND P,
ALPHONSE DE WAELHENS,DEWAELHENS A,
ALSTON P,ALSTON W,
ALTAYA BARCELONA,NA,Publisher
ALTEZ-ALBELA FR,ALTEZALBELA F,
ALVAREZ GOMEZ M,ALVAREZGOMEZ M,
ALVAREZ RAMIREZ WILLIAM,ALVAREZRAMIREZ W,
AM AC PED,NA,Academy
AM PSYCH ASS,NA,Academy
AM SOC AESTH PLAS,NA,Academy
AMERICAN HERITAGE DICTIONARY,NA,Reference
AMERICAN PSYCHIATRIC ASSOCIATION,NA,Association
AMERICAN PSYCHIATRIC ASSOCIATION APA,NA,Association
AMERICAN PSYCHIATRICASSOCIATION,NA,
AMERICAN PSYCHOLOGICAL ASSOCATION,NA,
AMERICAN PSYCHOLOGICAL ASSOCIATION,NA,
AMERICAN PSYCIATRIC ASSOCIATION,NA,
AMES,AMES R,
AMY HOLLYWOOD STATES,HOLLYWOOD A,
ANCHE MKLINE,KLINE M,
ANCORA,NA,Pretty sure it's not a name.
ANDO T,TADAO A,
ANDO TADAO,TADAO A,
ANDRE DU BOUCHET,DUBOUCHET A,
ANKERSMIT,ANKERSMIT F,
ANNEMARI SHIMMEL,SHIMMEL A,
ANONYMOUS,NA,
ANSCOMB GM,ANSCOMBE E,
ANSCOMBE,ANSCOMBE E,
ANSCOMBE G,ANSCOMBE E,
ANSCOMBE G E M,ANSCOMBE E,
ANSCOMBE GE,ANSCOMBE E,
ANSCOMBE GEM,ANSCOMBE E,
ANSELL PEARSON K,ANSELLPEARSON K,
ANSELL PEARSON KEITH,ANSELLPEARSON K,
ANSELL-PEARSON K,ANSELLPEARSON K,
ANSELM CANTERBU,ANSELM,
ANSELM CANTERBURY,ANSELM,
ANZALDUAS GLORIA,ANZALDUA G,
APA,NA,Reference
APEL O KARL,APEL K,
APPIAH A,APPIAH K,
AQINAS T,AQUINAS,
AQUIN T,AQUINAS,
AQUINAS ST THOMAS,AQUINAS,
AQUINAS T,AQUINAS,
AQUINAS THOMAS,AQUINAS,
AQUINO T,AQUINAS,
AQUINO TOMAS DE,AQUINAS,
ARBELEZ CARDONA TERESA,ARBELEZCARDONA T,
ARBIB,ARBIB D,
ARDAVIN E E MERINO,NA,Two different authors
ARENDT,ARENDT H,
ARENDT K,ARENDT H,
ARENDT KHANNA,ARENDT H,
ARENDTOVA H,ARENDT H,
ARENDTOVA HANNAH,ARENDT H,
ARENDTOVE HANNAH,ARENDT H,
ARENT H,ARENDT H,
ARGUABLY SLOTERDIJK,SLOTERDIJK P,
ARGUELLES-FERNANDEZ G,ARGUELLESFERNANDEZ G,
ARISTOLE,ARISTOTLE,
ARISTOTE,ARISTOTLE,
ARISTOTEL,ARISTOTLE,
ARISTOTEL O,ARISTOTLE,
ARISTOTELE,ARISTOTLE,
ARISTOTELES,ARISTOTLE,
ARISTOTELES M,ARISTOTLE,
ARISTOTELIS,ARISTOTLE,
ARISTOTLE  SACHS J,ARISTOTLE,
ARISTOTLE H,ARISTOTLE,
ARISTOTLE W,ARISTOTLE,
ARISTOTLE W D,ARISTOTLE,
ARITSOTEL,ARISTOTLE,
ARMSTRONG,ARMSTRONG D,
ARNAULD,ARNAULD A,
ARNEL TREVENA JUDY,TREVENA A,
ARRIAGA RODRIGUEZ J C,ARRIAGARODRIGUEZ J,
ARSTILA,ARSTILA V,
ARTHUR,SCHOPENHAUER A,
ARTHUR LITTLE SJ,LITTLE A,
ASHBY W R,ASHBY R,
ASHWORTH JR WILLIAM B,ASHWORTH W,
ASNE,NA,Association
ASPINALL FOUNDATION,NA,Association
ASSMANN VGL JAN,ASSMANN J,
ASSULAMI,SULAMI,
ASTHETIK GERNOT BOHME,BÃ–HME G,
ATT<UMACRON>S NASRADDN,ADDIN N,
ATTERTON,ATTERTON P,
AUBERT EMMANUEL DE SAINT,DESAINTAUBERT E,
AUBERT SAINT,DESAINTAUBERT E,
AUDOIN ROUZEAU STEPHANE,AUDOINROUZEAU S,
AUFTRAG DES TERESIANISCHEN KARMELS IN DEUTSCHLAND DURCH DAS INTERNATIONALE EDITHSTEININSTITUT WURZBURG,NA,Association
AUGUSTIN,AUGUSTINE,
AUGUSTIN S,AUGUSTINE,
AUGUSTINE GULYANITSKY,AUGUSTINE,
AUGUSTINE HIPPO,AUGUSTINE,
AUGUSTINE SAINT,AUGUSTINE,
AUGUSTINE ST,AUGUSTINE,
AUGUSTINUS,AUGUSTINE,
AUGUSTINUS AURELIUS,AUGUSTINE,
AUN H,LAUN H,
AUSTIN,AUSTIN J,
AUSTIN LJ,AUSTIN J,
AVE LALLEMANT E,AVELALLEMANT E,
AVENI,AVENI A,
AVGUSTIN,AUGUSTINE,
AVGUSTIN BLAZHENNY,AUGUSTINE,
AVICENA,AVICENNA,
AYDEDE,AYDEDE M,
B O,NA,What is this
BA ALBAKI ROHI,BAALBAKI R,
BAADER FRANZ VON,VONBAADER F,
BABETTE B,BABICH B,
BACHDARD,BACHELARD S,
BACHEALRD G,BACHELARD G,
BACHELARD,BACHELARD S,"I checked the paper and it's S, not G"
BACHELARS S,BACHELARD S,
BACHTIN DS,BAKHTIN M,Checked references. All to Bakhtin
BACHTIN M,BAKHTIN M,Checked references. All to Bakhtin
BACHTIN MICHAEL,BAKHTIN M,Checked references. All to Bakhtin
BACHTIN MICHAIL M,BAKHTIN M,Checked references. All to Bakhtin
BACHTIN MM,BAKHTIN M,Checked references. All to Bakhtin
BADIOUS ALAIN,BADIOU A,
BAHTIN MIHAIL,BAKHTIN M,
BAINBRIDGE COHEN B,COHEN B,
BALCKBOURN D,BLACKBOURN D,
BALCKBURN S,BLACKBURN S,
BALDWIN,BALDWIN T,
BALLARD,BALLARD E,Checked paper
BALTHASAR,VONBALTHASAR H,
BALTHASAR HANS URS VON,VONBALTHASAR H,
BALTHASAR HUV,VONBALTHASAR H,
BALTZER-JARAY K,BALTZERJARAY K,
BALZAC HONORE DE,DEBALZAC H,
BANCHETTIROBINO,BANCHETTIROBINO M,
BARABARAS R,BARBARAS R,
BARBA-KAY A,BARBAKAY A,
BARBARAS,BARBARAS R,
BARBARAUS R,BARBARAS R,
BARBARRAS R,BARBARAS R,
BARBOSA DA SILVA A,DASILVA A,
BARBOSA MARTINEZ O E,BARBOSAMARTINEZ O,
BARNETT BROUGH JOHN,BROUGH J,
BARO M GARCIA,GARCIABARO M,
BARO MIGUEL GARCIA,GARCIABARO M,
BAROHCOHEN S,BARONCOHEN S,
BARON COHEN SIMON,BARONCOHEN S,
BARONCOHEN HTS,BARONCOHEN S,
BARRETT,BARRETT J,
BARRY,BARRY K,
BARTHELEMYMADAUM,BARTHELEMYMADAULE M,
BARTHES BR,BARTHES R,
BARTHES POZRI R,BARTHES R,
BARTLEY III W W,BARTLEY W,
BASEHEART CM,BASEHEART M,
BASSAS-VILA J,BASSAS V,
BATSON,BATSON C,
BATTAN HORENSTEIN A,BATTANHORENSTEIN A,
BATTAN HORENSTEIN ARIELA,BATTANHORENSTEIN A,
BAUCHS B,BAUCH B,
BAYER STAATSB MUN,NA,It's a library
BBC RADIO,NA,It's the BBC
BCPSG,NA,??
BEAUCHEMP TL,BEAUCHAMP T,
BEAUFRET VJ,BEAUFRET J,
BEAUME JC,BEAUNE J,
BEAUVOIR,DEBEAUVOIR S,
BEAUVOIR D S,DEBEAUVOIR S,
BEAUVOIR S,DEBEAUVOIR S,
BEAUVOIR S DE,DEBEAUVOIR S,
BEAUVOIR SD,DEBEAUVOIR S,
BEAUVOIR SIMONE,DEBEAUVOIR S,
BEAUVOIR SIMONE DE,DEBEAUVOIR S,
BECKMANN B,BECKMANNZOLLER B,
BECKMANN BEATE,BECKMANNZOLLER B,
BECKMANN-ZOLLER B,BECKMANNZOLLER B,
BEHNKE A ELIZABETH,BEHNKE E,
BEIERWALTES,BEIERWALTES W,
BEING NOTHINGNESS,SARTRE J,
BEISER,BEISER F,
BEISTEGUI M DE,DEBEISTEGUI M,
BEISTEGUI MIGUEL DE,DEBEISTEGUI M,
BEITES P FERNANDEZ,FERNANDEZBEITES P,
BEJARANO J C VARGAS,VARGASBEJARANO J,
BEJARANO JULIO VARGAS,VARGASBEJARANO J,
BELLAH,BELLAH R,
BELLO A,ALESBELLO A,
BELLO A A,ALESBELLO A,
BELLO A ALES,ALESBELLO A,
BELLO AA,ALESBELLO A,
BELLO ALES,ALESBELLO A,
BELLO ANGELA ALES,ALESBELLO A,
BELYI A,BELY A,
BELYI ANDREI,BELY A,
BEN ALDERSONDAY,ALDERSONDAY B,
BEN BAGDIKIAN,BAGDIKIAN B,
BEN BARZILLAI R JUDAH,BENBARZILLAI J,
BEN BRADLEY,BRADLEY B,
BEN PAZI H,BENPAZI H,
BEN ZEEEV A,BENZEEV A,
BENACCRRAF P,BENACERRAF P,
BENARY,BENARY W,
BENBRAMBLE,BRAMBLE B,
BENEDICT POPE,BENEDICT XVI,
BENEDICT XVI,BENEDICT XVI,
BENEDICT XVI POPE,BENEDICT XVI,
BENJAMIN,BENJAMIN W,
BENOIST,BENOIST J,
BENZEV A,BENZEEV A,
BERDIAEV N,BERDYAEV N,
BERG JH VAN DEN,VANDENBERG J,
BERG VON N,VONBERG N,
BERGSON,BERGSON H,
BERGSON A,BERGSON H,
BERKOVICH-OHANA A,BERKOVICHOHANA A,
BERNARD,NA,Couldn't find which bernard this was
BERNERSLEE,BERNERSLEE T,
BERNET,BERNET R,
BERNET CF R,BERNET R,
BERNETS R,BERNET R,
BERNSTEIN,BERNSTEIN J,
BERTRAND RUSSELL,RUSSELL B,
BESSMEL'TSEVA O,BESSMELTSEVA O,
BHABHA J,BHABHA H,
BHATTACHARYYA,BHATTACHARYA K,
BHATTACHARYYA K,BHATTACHARYA K,
BHATTACHARYYA KC,BHATTACHARYA K,
BHATTACHARYYA V,BHATTACHARYA V,
BHIKKHU B,BODHI B,
BIAGI M L ALTIERI,ALTIERIBIAGI M,
BIASUTII F,BIASUTTI F,
BIBIHIN VV,BIBIKHIN V,
BIBLE,NA,
BIBLIOGRAFIA AMERICAN PSYCHIATRIC ASSOCIATION APA,NA,
BIBLIOTHEQUE NATIONALE DE FRANCE DEPARTMENT OF MANUSCRIPTS,NA,
BIEMEL,BIEMEL W,
BIEMEL M,BIEMEL W,
BIEMEL MANY,BIEMEL W,
BIEMEL MARLY,BIEMEL W,
BIEMEL MARTY,BIEMEL W,
BIEMEL MW,BIEMEL W,
BIESE,NA,Couldn't find reference in the paper
BIFFI I,BIFFT I,
BIJSTERVELD A,BIJSTERVELD K,
BIN KIMURA,KIMURA B,
BINGGELL S,BINGGELI S,
BINKIMURA,KIMURA B,
BINSVANGER L,BINSWANGER L,
BIRD-POLLAN S,BIRDPOLLAN S,
BJORNSSONS GUNNAR,BJORNSSON G,
BLACJBURN S,BLACKBURN S,
BLANCO FERNANDEZ DOMINGO,BLANCOFERNANDEZ D,
BLANKENBURG,BLANKENBURG W,
BLASCHEK-HAHNOVA H,BLASCHEKHANOVA H,
BLAUSTEIN,BLAUSTEIN L,
BLECHA L,BLECHA I,
BLONSKII,BLONSKII P,
BLUMENBERG,BLUMENBERG H,
BLUMENBERG D,BLUMENBERG H,
