name,degree,community
MARION J,112,1
JANICAUD D,55,1
CHRETIEN J,27,1
KEARNEY R,22,1
WESTPHAL M,20,1
RICOEUR P,110,2
PATOCKA J,56,2
RICCEUR P,20,2
GILSON E,16,2
KANT E,14,2
RICHIR M,37,3
TENGELYI L,23,3
ROMANO C,22,3
GREISCH J,20,3
MALDINEY H,17,3
HENRY M,88,4
DESCARTES R,54,4
KUHN R,11,4
TILLIETTE X,8,4
ALQUIE F,8,4
LEVINAS E,135,5
DERRIDA J,126,5
CAPUTO J,48,5
PLATO,34,5
NANCY J,24,5
GADAMER H,90,6
KISIEL T,42,6
COURTINE J,23,6
POGGELER O,23,6
GRONDIN J,22,6
VAN BUREN J,22,6
KIERKEGAARD S,43,7
MARTIN H,23,7
ELIADE M,9,7
JAKOBSON R,4,7
DALFERTH I,4,7
HONG H,4,7
ARENDT H,44,8
YOUNGBRUEHL E,5,8
GARCIABARO M,5,8
BARNES J,5,8
SMART N,4,8
KOCKELMANS J,12,9
RICKERT H,7,9
EINSTEIN A,7,9
HADOT P,7,9
NELSON E,6,9
ARISTOTLE,57,10
BUBER M,21,10
SCHOPENHAUER A,13,10
RILKE R,13,10
KACERAUSKAS T,9,10
AQUINAS T,13,11
LONERGAN B,7,11
NEWMAN J,3,11
DAWKINS R,3,11
WIPPEL J,3,11
PEARS D,3,11
HEIDEGGER M,367,12
NIETZSCHE F,67,12
HEIDEGGER,27,12
SHEEHAN T,26,12
AGAMBEN G,25,12
