name,degree,strength,community,outdegree,display_label
Husserl E,466,3074,1,7,Husserl E
Zahavi D,118,430,1,218,Zahavi D
Bernet R,95,213,1,18,Bernet R
Kern I,75,108,1,5,
Drummond J,70,143,1,29,
Lohmar D,63,113,1,30,
Steinbock A,53,160,1,76,Steinbock A
Gurwitsch A,52,122,1,0,
Crowell S,42,117,1,116,
Boehm R,36,48,1,9,
Benoist J,35,74,1,20,
Depraz N,34,116,1,138,
Welton D,34,66,1,23,
Brough J,34,63,1,12,
Tugendhat E,32,80,1,0,
Holenstein E,29,45,1,0,
Marbach E,26,44,1,41,
Lee N,24,36,1,20,
Mensch J,17,41,1,30,
Lotz C,17,24,1,50,
Deboer T,17,20,1,6,
Mcintyre R,17,27,1,0,
Panzer U,17,18,1,0,
Aguirre A,15,22,1,0,
Kortooms T,15,20,1,0,
Sowa R,15,20,1,0,
Staiti A,14,19,1,62,
Jacobs H,14,17,1,50,
Cobbstevens R,14,15,1,0,
Heinamaa S,13,48,1,140,
Lavigne J,11,25,1,3,
Rodemeyer L,10,25,1,16,
Natanson M,10,32,1,9,
Begout B,10,27,1,12,
Brainard M,10,15,1,1,
Fleischer M,10,11,1,0,
Sakakibara T,9,11,1,45,
Ni L,9,15,1,16,
Mckenna W,9,11,1,0,
Montavont A,9,14,1,0,
Taguchi S,9,11,1,0,
Wiesing L,8,14,1,8,
Zirion Aq,8,12,1,27,
Taipale J,8,12,1,16,
Hardy L,8,10,1,0,
Volonte P,8,10,1,0,
Depalma V,7,10,1,57,
Donohoe J,7,12,1,17,
Pietersma H,7,10,1,8,
Frank M,7,20,1,0,
Schumann K,7,9,1,0,
Ferenczflatz C,6,7,1,69,
Behnke E,6,19,1,62,
Larrabee M,6,8,1,14,
Barber M,6,14,1,29,
Breeur R,6,12,1,16,
Yamaguchi I,6,8,1,11,
Zhok A,6,10,1,22,
Dimartino C,6,8,1,6,
Kuhn H,6,9,1,0,
Metzger A,6,7,1,0,
Miettinen T,5,7,1,42,
Ciocan C,5,9,1,36,
Macdonald P,5,6,1,12,
Trizio E,5,7,1,28,
Shim M,5,6,1,30,
Deroo N,5,8,1,2,
Hoffmann G,5,6,1,6,
Biceaga B,5,10,1,0,
Buckley P,5,7,1,0,
Rizzoli L,5,5,1,0,
Bower M,4,9,1,116,
Gander H,4,15,1,12,
Lobo C,4,4,1,49,
Wehrle M,4,6,1,17,
Aldea A,4,6,1,42,
Brudzinska J,4,6,1,20,
Hickerson R,4,4,1,11,
De Preester H,4,11,1,0,
Grunbaum A,4,10,1,0,
Murakami Y,4,6,1,0,
Von T,4,5,1,0,
Kelly M,3,14,1,37,
Desantis D,3,5,1,62,
Giorgi A,3,14,1,24,
Heim M,3,6,1,28,
Doyon M,3,7,1,28,
Zhang W,3,4,1,37,
Pugliese A,3,3,1,25,
Dupre L,3,8,1,5,
Hadreas P,3,4,1,8,
Bancalari S,3,7,1,0,
Belussi F,3,3,1,0,
Bogost I,3,7,1,0,
Borges J,3,11,1,0,
Buckley R,3,8,1,0,
Bunge M,3,7,1,0,
Can D,3,4,1,0,
Caston V,3,6,1,0,
