name,degree,community
PATOCKA J,53,1
NOVOTNY K,10,1
CHVATIK I,10,1
KARFIK F,9,1
KOHAK E,8,1
DERRIDA J,139,2
MARION J,119,2
CAPUTO J,47,2
CHRETIEN J,26,2
KEARNEY R,23,2
HEIDEGGER M,379,3
NIETZSCHE F,60,3
PLATO,32,3
CROWELL S,30,3
SHEEHAN T,27,3
KISIEL T,47,4
POGGELER O,27,4
VAN BUREN J,23,4
OTTO R,15,4
DILTHEY W,15,4
RICHIR M,37,5
BENOIST J,26,5
MALDINEY H,18,5
KANT E,14,5
SCHNELL A,12,5
RICOEUR P,122,6
ROMANO C,24,6
RICCEUR P,22,6
GREISCH J,21,6
MARCEL G,13,6
KIERKEGAARD S,42,7
WESTPHAL M,20,7
BARTH K,7,7
RIC,7,7
ELIADE M,7,7
LEVINAS E,146,8
DESCARTES R,59,8
AGAMBEN G,26,8
FRANCK D,25,8
SEBBAH F,13,8
LEVINAS,13,8
HENRY M,90,9
JANICAUD D,62,9
COURTINE J,29,9
TENGELYI L,26,9
KUHN R,12,9
GONDEK H,12,9
ARENDT H,45,10
BARNES J,6,10
BENNINGTON G,5,10
YOUNGBRUEHL E,5,10
GARCIABARO M,5,10
NANCY J,25,11
FERRARIS M,7,11
STIEGLER B,6,11
HODGE J,4,11
LAMBERT G,0,11
LYSEMOSE K,0,11
NAKHUTSRISHVILI L,0,11
RONEY P,0,11
COBIAN M,0,11
LOWRY S,0,11
TEN K,0,11
GADAMER H,101,12
GRONDIN J,25,12
FIGAL G,20,12
VOLPI F,18,12
BERNASCONI R,15,12
VATTIMO G,15,12
ARISTOTLE,60,13
BUBER M,22,13
MARTIN H,20,13
SCHOPENHAUER A,9,13
KACERAUSKAS T,8,13
KOVACS G,8,13
