name,short.name,appearances,comment,changed.in.old,present.in.old
A CORRECTION,A C,1,NA,TRUE,TRUE
A LUDW U FREIB HA,A L,1,NA,TRUE,TRUE
A VARZI,A V,1,NA,FALSE,FALSE
AA VV,AA V,1,NA,TRUE,TRUE
AA XV,AA X,1,NA,TRUE,TRUE
AAGAARD J,AAGAARD J,48,NA,FALSE,FALSE
AAGARD JESPER,AAGARD J,1,NA,FALSE,FALSE
AALL A,AALL A,1,NA,FALSE,TRUE
AALTOLA E,AALTOLA E,1,NA,FALSE,FALSE
AALTOLA ELISA,AALTOLA E,1,NA,FALSE,TRUE
AARON J,AARON J,1,NA,FALSE,FALSE
AARON LYNN S,AARON L,1,NA,FALSE,FALSE
AARON M,AARON M,1,NA,FALSE,FALSE
AARON RAYMOND,AARON R,1,NA,FALSE,FALSE
AARONS L,AARONS L,1,NA,FALSE,TRUE
AARONSON S,AARONSON S,2,NA,FALSE,TRUE
AARONSON SCOTT,AARONSON S,1,NA,FALSE,FALSE
AARSETH ESPEN,AARSETH E,1,NA,FALSE,TRUE
AARSLEFF H,AARSLEFF H,1,NA,FALSE,FALSE
AARSLEFF HANS,AARSLEFF H,1,NA,FALSE,TRUE
AARTS H,AARTS H,4,NA,FALSE,TRUE
AARTS J,AARTS J,1,NA,FALSE,TRUE
AAVV,AAVV,2,NA,TRUE,TRUE
ABAD F,ABAD F,1,NA,FALSE,TRUE
ABALO F,ABALO F,15,NA,FALSE,TRUE
ABANE B,ABANE B,1,NA,FALSE,FALSE
ABATH AJ,ABATH A,24,NA,FALSE,TRUE
ABBAD LASIERRA I,ABBAD L,1,NA,FALSE,FALSE
ABBAGNANO N,ABBAGNANO N,4,NA,FALSE,TRUE
ABBAGNANO NICOLA,ABBAGNANO N,2,NA,FALSE,TRUE
ABBATE F,ABBATE F,1,NA,FALSE,FALSE
ABBEY JENNIFER,ABBEY J,1,NA,FALSE,TRUE
ABBEY R,ABBEY R,3,NA,FALSE,TRUE
ABBEY RUTH,ABBEY R,1,NA,FALSE,TRUE
ABBLETT M,ABBLETT M,1,NA,FALSE,TRUE
ABBOT DEREK,ABBOT D,1,NA,FALSE,FALSE
ABBOTT A,ABBOTT A,2,NA,FALSE,FALSE
ABBOTT E A,ABBOTT E,1,NA,FALSE,TRUE
ABBOTT L F,ABBOTT L,2,NA,FALSE,FALSE
ABBOTT M,ABBOTT M,17,NA,FALSE,TRUE
ABBOTT MN,ABBOTT M,1,NA,FALSE,TRUE
ABDALLAH S,ABDALLAH S,1,NA,FALSE,TRUE
ABDELMALEK A,ABDELMALEK A,1,NA,FALSE,FALSE
ABDULLAH MA,ABDULLAH M,1,NA,FALSE,TRUE
ABDULMASIH MARGUERITE,ABDULMASIH M,1,NA,FALSE,TRUE
ABE M,ABE M,4,NA,FALSE,TRUE
ABEL G,ABEL G,1,NA,FALSE,TRUE
ABEL K,ABEL K,1,NA,FALSE,TRUE
ABEL MARCO,ABEL M,1,NA,FALSE,FALSE
ABEL O,ABEL O,1,NA,FALSE,FALSE
ABEL OLIVIER,ABEL O,1,NA,FALSE,TRUE
ABEL R,ABEL R,1,NA,FALSE,FALSE
ABELA AV,ABELA A,1,NA,FALSE,TRUE
ABELL,ABELL,1,NA,TRUE,TRUE
ABELL C,ABELL C,2,NA,FALSE,TRUE
ABELL F,ABELL F,1,NA,FALSE,FALSE
ABELLA M,ABELLA M,7,NA,FALSE,TRUE
ABELLAN J L,ABELLAN J,1,NA,FALSE,FALSE
ABELLAN JL,ABELLAN J,1,NA,FALSE,FALSE
ABELLAN JOSE LUIS,ABELLAN J,1,NA,FALSE,FALSE
ABELLON PAMELA,ABELLON P,1,NA,FALSE,TRUE
ABELLON PC,ABELLON P,34,NA,FALSE,TRUE
ABELS H,ABELS H,1,NA,FALSE,TRUE
ABENSOR M,ABENSOR M,1,NA,TRUE,TRUE
ABENSOUR M,ABENSOUR M,7,NA,FALSE,TRUE
ABENSOUR MIGUEL,ABENSOUR M,6,NA,FALSE,TRUE
ABERCROMBIE STANLEY,ABERCROMBIE S,1,NA,FALSE,TRUE
ABERDEIN ANDREW,ABERDEIN A,1,NA,FALSE,FALSE
ABERNETHY B,ABERNETHY B,1,NA,FALSE,TRUE
ABETTAN C,ABETTAN C,1,NA,FALSE,TRUE
ABHAYAKARAGUPTA,ABHAYAKARAGUPTA,1,NA,FALSE,TRUE
ABHINAVAGUPTA,ABHINAVAGUPTA,1,NA,FALSE,FALSE
ABIKOFF H,ABIKOFF H,1,NA,FALSE,TRUE
ABIRACHED JM,ABIRACHED J,1,NA,FALSE,TRUE
ABISH WALTER,ABISH W,1,NA,FALSE,TRUE
ABLALI D,ABLALI D,1,NA,FALSE,TRUE
ABORAYA AHMED,ABORAYA A,1,NA,FALSE,FALSE
ABOULAFIA M,ABOULAFIA M,2,NA,FALSE,TRUE
ABRAAM N,ABRAAM N,1,NA,FALSE,FALSE
ABRAHAM A,ABRAHAM A,67,NA,FALSE,TRUE
ABRAHAM N,ABRAHAM N,3,NA,FALSE,TRUE
ABRAHAM NICOLAS,ABRAHAM N,1,NA,FALSE,FALSE
ABRAHAM R,ABRAHAM R,1,NA,FALSE,TRUE
ABRAM,ABRAM,1,NA,TRUE,TRUE
ABRAM D,ABRAM D,14,NA,FALSE,TRUE
ABRAM DAVID,ABRAM D,1,NA,FALSE,TRUE
ABRAMOV AI,ABRAMOV A,1,NA,FALSE,TRUE
ABRAMOVIC MARINA,ABRAMOVIC M,1,NA,FALSE,TRUE
ABRAMOWICZ J,ABRAMOWICZ J,1,NA,FALSE,TRUE
ABRAMS D,ABRAMS D,3,NA,FALSE,TRUE
ABRAMS DANIEL,ABRAMS D,1,NA,FALSE,TRUE
ABRAMS DE ERIKA,ABRAMS D,1,NA,TRUE,TRUE
ABRAMS E,ABRAMS E,7,NA,FALSE,TRUE
ABRAMS ERIKA,ABRAMS E,4,NA,FALSE,TRUE
ABRAMS L,ABRAMS L,1,NA,FALSE,FALSE
ABRAMS M,ABRAMS M,1,NA,FALSE,FALSE
ABRAMS M H,ABRAMS M,4,NA,FALSE,TRUE
ABRAMS R,ABRAMS R,1,NA,FALSE,TRUE
ABRAMS RA,ABRAMS R,1,NA,FALSE,TRUE
ABRAMS T,ABRAMS T,1,NA,FALSE,FALSE
ABRAMSON A,ABRAMSON A,1,NA,FALSE,FALSE
ABRAMSON K,ABRAMSON K,1,NA,FALSE,TRUE
ABRAMSON M,ABRAMSON M,1,NA,FALSE,TRUE
ABRAMSOVE E,ABRAMSOVE E,1,NA,FALSE,TRUE
ABRAMSOVOU E,ABRAMSOVOU E,1,NA,FALSE,TRUE
ABRAVANEL RY,ABRAVANEL R,1,NA,FALSE,TRUE
ABREU JM,ABREU J,1,NA,FALSE,TRUE
ABRO AD,ABRO A,1,NA,FALSE,TRUE
ABROMEIT,ABROMEIT,2,NA,FALSE,FALSE
ABROMEIT J,ABROMEIT J,14,NA,FALSE,TRUE
ABROMEIT JOHN,ABROMEIT J,1,NA,FALSE,TRUE
ABROMHEIT JOHN,ABROMHEIT J,1,NA,TRUE,TRUE
ABSE DW,ABSE D,1,NA,FALSE,TRUE
ABTEILUNG Z,ABTEILUNG Z,1,NA,TRUE,TRUE
ABUHAMDIYYAH M,ABUHAMDIYYAH M,1,NA,FALSE,TRUE
ABULKHANOVA KSENIA A,ABULKHANOVA K,1,NA,FALSE,TRUE
ABULUGHOD L,ABULUGHOD L,2,NA,FALSE,TRUE
ABUZAID NASR,ABUZAID N,1,NA,FALSE,TRUE
ACAMPORA R,ACAMPORA R,1,NA,FALSE,TRUE
ACAMPORA R R,ACAMPORA R,1,NA,FALSE,TRUE
ACAMPORA RALPH R,ACAMPORA R,4,NA,FALSE,FALSE
ACAMPORA RR,ACAMPORA R,1,NA,FALSE,TRUE
ACCETTI CARLO INVERNIZZI,ACCETTI C,1,NA,FALSE,TRUE
ACCETTI CI,ACCETTI C,34,NA,FALSE,TRUE
ACCORNERO G,ACCORNERO G,1,NA,FALSE,TRUE
ACERO J J,ACERO J,1,NA,FALSE,FALSE
ACEVEDO J,ACEVEDO J,1,NA,FALSE,FALSE
ACH N,ACH N,2,NA,FALSE,TRUE
ACHAM KARL,ACHAM K,1,NA,FALSE,TRUE
ACHARD J L,ACHARD J,1,NA,FALSE,FALSE
ACHEBE C,ACHEBE C,2,NA,FALSE,TRUE
ACHELLA S,ACHELLA S,2,NA,FALSE,TRUE
ACHEN CH,ACHEN C,1,NA,FALSE,FALSE
ACHENBACH G B,ACHENBACH G,1,NA,FALSE,FALSE
ACHENBACH GERD,ACHENBACH G,1,NA,FALSE,TRUE
ACHTERHUIS HANS,ACHTERHUIS H,2,NA,FALSE,FALSE
ACKER WILLIAM RB,ACKER W,1,NA,FALSE,TRUE
ACKER WRB,ACKER W,1,NA,FALSE,TRUE
ACKERMAN B,ACKERMAN B,1,NA,FALSE,FALSE
ACKERMAN B A,ACKERMAN B,1,NA,FALSE,FALSE
ACKERMAN BRUCE,ACKERMAN B,1,NA,FALSE,TRUE
ACKERMAN SPENCER,ACKERMAN S,1,NA,FALSE,FALSE
ACKERMANN A,ACKERMANN A,2,NA,FALSE,FALSE
ACKERMANN KATHRIN,ACKERMANN K,1,NA,FALSE,TRUE
ACKERMANN W,ACKERMANN W,1,NA,FALSE,FALSE
ACKNER B,ACKNER B,1,NA,FALSE,TRUE
ACKROYD P,ACKROYD P,1,NA,FALSE,TRUE
ACKROYD S,ACKROYD S,1,NA,FALSE,TRUE
ACOSTA M,ACOSTA M,12,NA,FALSE,TRUE
ACREDOLO L,ACREDOLO L,1,NA,FALSE,TRUE
ACREDOLO LP,ACREDOLO L,1,NA,FALSE,TRUE
ACTON H B,ACTON H,1,NA,FALSE,TRUE
ACZEL A D,ACZEL A,1,NA,FALSE,TRUE
ACZEL AD,ACZEL A,1,NA,FALSE,FALSE
ACZEL AMIR,ACZEL A,1,NA,FALSE,TRUE
ADAIR S,ADAIR S,21,NA,FALSE,TRUE
ADAM A,ADAM A,45,NA,FALSE,TRUE
ADAM ALISON,ADAM A,1,NA,FALSE,TRUE
ADAM B,ADAM B,1,NA,FALSE,TRUE
ADAM C,ADAM C,3,NA,FALSE,TRUE
ADAM CH,ADAM C,1,NA,FALSE,FALSE
ADAM H,ADAM H,1,NA,FALSE,TRUE
ADAM J,ADAM J,1,NA,FALSE,TRUE
ADAM JENS,ADAM J,1,NA,FALSE,TRUE
ADAM JM,ADAM J,1,NA,FALSE,TRUE
ADAM MT,ADAM M,18,NA,FALSE,TRUE
ADAM P,ADAM P,2,NA,FALSE,TRUE
ADAM SMITH,ADAM S,1,NA,FALSE,FALSE
ADAMEK PM,ADAMEK P,1,NA,FALSE,TRUE
ADAMS C,ADAMS C,2,NA,FALSE,TRUE
ADAMS CJ,ADAMS C,1,NA,FALSE,FALSE
ADAMS D,ADAMS D,1,NA,FALSE,TRUE
ADAMS F,ADAMS F,12,NA,FALSE,TRUE
ADAMS GEORGE P,ADAMS G,1,NA,FALSE,FALSE
ADAMS H,ADAMS H,2,NA,FALSE,TRUE
ADAMS JK,ADAMS J,1,NA,FALSE,FALSE
ADAMS MARILYN MCCORD,ADAMS M,1,NA,FALSE,TRUE
ADAMS N,ADAMS N,1,NA,FALSE,FALSE
ADAMS P,ADAMS P,1,NA,FALSE,TRUE
ADAMS R M,ADAMS R,2,NA,FALSE,FALSE
ADAMS RA,ADAMS R,1,NA,FALSE,TRUE
ADAMS RD,ADAMS R,1,NA,FALSE,FALSE
ADAMS RM,ADAMS R,2,NA,FALSE,TRUE
ADAMS ROBERT M,ADAMS R,1,NA,FALSE,TRUE
ADAMS S,ADAMS S,15,NA,FALSE,FALSE
ADAMS SUZI,ADAMS S,1,NA,FALSE,FALSE
ADAMS SUZY,ADAMS S,1,NA,FALSE,FALSE
ADAMS WW,ADAMS W,1,NA,FALSE,FALSE
ADAMS Z,ADAMS Z,50,NA,FALSE,TRUE
ADAMSON LB,ADAMSON L,1,NA,FALSE,TRUE
ADAMSON PETER,ADAMSON P,1,NA,FALSE,TRUE
ADAMSON T,ADAMSON T,1,NA,FALSE,TRUE
ADDAQAR ABDULQAN,ADDAQAR A,1,NA,FALSE,TRUE
ADDIS DR,ADDIS D,1,NA,FALSE,TRUE
ADDIS L C,ADDIS L,1,NA,FALSE,TRUE
ADDIS M,ADDIS M,1,NA,FALSE,TRUE
ADDISON A,ADDISON A,1,NA,FALSE,FALSE
ADDITIONALLY COATES,ADDITIONALLY C,1,NA,TRUE,TRUE
ADELGUNDIS JAEGERSCHMID OSB,ADELGUNDIS J,2,NA,FALSE,TRUE
ADELMAN C,ADELMAN C,1,NA,FALSE,TRUE
ADELMAN H,ADELMAN H,9,NA,FALSE,TRUE
ADELMANN D,ADELMANN D,1,NA,FALSE,FALSE
ADELSON EH,ADELSON E,3,NA,FALSE,TRUE
ADEMAS,ADEMAS,1,NA,FALSE,FALSE
ADEMAS DE LA RESENA DE ZIZEK S,ADEMAS D,1,NA,FALSE,FALSE
ADEODATO JOAO MAURICIO,ADEODATO J,1,NA,FALSE,FALSE
ADER R,ADER R,1,NA,FALSE,FALSE
ADES DAWN,ADES D,1,NA,FALSE,TRUE
ADESANMI P,ADESANMI P,1,NA,FALSE,TRUE
