name,strength,community
Husserl E,3796,Husserl
Zahavi D,529,Husserl
Scheler M,334,Husserl
Fink E,311,Husserl
Bernet R,270,Husserl
Brentano F,222,Husserl
Spiegelberg H,210,Husserl
Steinbock A,206,Husserl
Sokolowski R,191,Husserl
Drummond J,186,Husserl
Heidegger M,1999,Heidegger
Ricoeur P,640,Heidegger
Derrida J,638,Heidegger
Levinas E,631,Heidegger
Marion J,439,Heidegger
Gadamer H,372,Heidegger
Henry M,360,Heidegger
Patocka J,251,Heidegger
Nietzsche F,233,Heidegger
Descartes R,216,Heidegger
Merleauponty M,1585,Merleauponty
Sartre J,616,Merleauponty
Foucault M,238,Merleauponty
Deleuze G,232,Merleauponty
Waldenfels B,210,Merleauponty
Barbaras R,172,Merleauponty
Bergson H,155,Merleauponty
Freud S,151,Merleauponty
Butler J,138,Merleauponty
Lacan J,105,Merleauponty
Kant I,687,Kant
Hegel G,639,Kant
Habermas J,173,Kant
Taylor C,152,Kant
Adorno T,135,Kant
Marx K,120,Kant
Hyppolite J,112,Kant
Cassirer E,90,Kant
Pippin R,85,Kant
Fichte J,82,Kant
Dreyfus H,427,Gallagher
Gallagher S,393,Gallagher
Varela F,335,Gallagher
Thompson E,169,Gallagher
Noe A,168,Gallagher
Depraz N,146,Gallagher
Gibson J,127,Gallagher
Damasio A,106,Gallagher
Dewey J,84,Gallagher
Sheetsjohnstone M,77,Gallagher
Dennett D,273,James
Searle J,256,James
Chalmers D,224,James
James W,222,James
Mcdowell J,216,James
Horgan T,158,James
Tye M,155,James
Fodor J,144,James
Clark A,140,James
Nagel T,137,James
Schutz A,207,Schutz
Weber M,47,Schutz
Heelan P,46,Schutz
Kockelmans J,42,Schutz
Natanson M,38,Schutz
Tymieniecka A,36,Schutz
Berger P,33,Schutz
Eliade M,29,Schutz
Wagner H,25,Schutz
Barber M,22,Schutz
Richir M,198,Richir
Maldiney H,67,Richir
Blumenberg H,60,Richir
Schnell A,45,Richir
Danto A,39,Richir
Rota G,28,Richir
Varelaposada P,27,Richir
Stein E,152,Stein
Alesbello A,51,Stein
Conradmartius H,32,Stein
Fuchs T,143,Fuchs
Jaspers K,122,Fuchs
Ratcliffe M,115,Fuchs
Sass L,101,Fuchs
Nussbaum M,85,Fuchs
Straus E,78,Fuchs
Binswanger L,72,Fuchs
Schmitz H,65,Fuchs
Parnas J,65,Fuchs
Minkowski E,61,Fuchs
San M,102,Ortegaygasset
Ortegaygasset J,97,Ortegaygasset
Apel K,35,Ortegaygasset
Zubiri X,22,Ortegaygasset
Peirce C,98,Peirce
Ihde D,64,Peirce
Bell J,21,Peirce
Bakhtin M,42,Bakhtin
Shpet G,35,Bakhtin
