name,degree,strength,community,display.label
Kuhn R,15,19,Henry,
Henry M,123,249,Henry,Henry M
Casper B,11,14,Henry,
Courtine J,45,54,Henry,
Safranski R,13,16,Henry,
Aristotle,74,95,Nietzsche,Aristotle
Benveniste E,10,10,Nietzsche,
Buber M,20,23,Nietzsche,
Nietzsche F,90,125,Nietzsche,Nietzsche F
Schopenhauer A,17,21,Nietzsche,
Grondin J,32,47,Gadamer,
Risser J,6,7,Gadamer,
Gadamer H,119,176,Gadamer,Gadamer H
Makkreel R,7,11,Gadamer,
Riedel M,10,12,Gadamer,
Ciaramelli F,7,7,Arendt,
Taminiaux J,26,32,Arendt,
Abensour M,8,10,Arendt,
Agamben G,38,46,Arendt,
Arendt H,54,92,Arendt,
Bernstein R,7,7,Arendt,
Richir M,48,131,Richir,
Schnell A,15,32,Richir,
Tengelyi L,24,29,Richir,
Danto A,8,14,Richir,
Maldiney H,21,29,Richir,
Ricoeur P,178,312,Ricoeur,Ricoeur P
Greisch J,37,50,Ricoeur,
Housset E,12,14,Ricoeur,
Barth K,9,11,Ricoeur,
Sebbah F,13,15,Ricoeur,
Dastur F,35,39,Heidegger,
Kisiel T,52,76,Heidegger,
Heidegger M,507,1024,Heidegger,Heidegger M
Plato,39,42,Heidegger,
Poggeler O,30,39,Heidegger,
Vonherrmann F,30,44,Heidegger,
Hanson J,5,5,Descartes,
Camus A,6,7,Descartes,
Decerteau M,5,5,Descartes,
Descartes R,67,84,Descartes,Descartes R
Diogenes Laertius,5,5,Descartes,
Kierkegaard S,49,72,Descartes,
Busch T,5,5,Kockelmans,
Hadot P,6,7,Kockelmans,
Heelan P,8,31,Kockelmans,
Kockelmans J,16,22,Kockelmans,
Marcel G,13,18,Kockelmans,
Palmer R,5,5,Kockelmans,
Kohak E,11,12,Patocka,
Patocka J,71,146,Patocka,
Novotny K,12,15,Patocka,
Karfik F,9,15,Patocka,
Rorty R,27,34,Patocka,
Gratton P,5,6,Badiou,
Badiou A,23,29,Badiou,
Braig C,4,4,Badiou,
Gracia J,4,4,Badiou,
Lacouelabarthe P,8,10,Badiou,
Meillassoux Q,12,18,Badiou,
Morgan M,4,4,Badiou,
Blumenberg H,19,31,Blumenberg,
Eisler R,3,3,Blumenberg,
Fromm E,4,4,Blumenberg,
Hesiod,3,3,Blumenberg,
Irrgang B,3,3,Blumenberg,
Sloterdijk P,17,19,Blumenberg,
Wetz F,5,5,Blumenberg,
Derrida J,195,328,Levinas,Derrida J
Critchley S,24,25,Levinas,
Franck D,28,35,Levinas,
Levinas E,197,362,Levinas,Levinas E
Nancy J,29,57,Levinas,
Janicaud D,79,102,Marion,
Augustine,33,40,Marion,
Caputo J,57,81,Marion,
Chretien J,35,50,Marion,
Marion J,158,350,Marion,Marion J
