community,size,mean.degree,mean.strength,total.degree,total.strength,relative.size
Zahavi,203,7.413793103448276,10.187192118226601,1505,2068,0.1343481138318994
Fink,174,4.913793103448276,6.597701149425287,855,1148,0.11515552614162806
Husserl,283,7.250883392226148,13.519434628975265,2052,3826,0.1872931833223031
Brentano,167,5.754491017964072,7.383233532934132,961,1233,0.11052283256121774
Schuhmann,81,5.839506172839506,7.777777777777778,473,630,0.053606882859033755
Ingarden,73,2.904109589041096,4.328767123287672,212,316,0.048312375909993384
Shigeru,40,1.525,2.4,61,96,0.026472534745201854
Patzig,24,1.7083333333333333,2.75,41,66,0.01588352084712111
Scheler,265,4,5.449056603773585,1060,1444,0.17538054268696227
Willard,201,3.8208955223880596,4.945273631840796,768,994,0.13302448709463932
