community,size,mean.degree,mean.strength,total.degree,total.strength,relative.size
Sartre,155,2.6838709677419357,3.4387096774193546,416,533,0.08811824900511654
Bachelard,160,1.8,2.14375,288,343,0.09096077316657192
Valery,22,1.8636363636363635,2.090909090909091,41,46,0.012507106310403639
Foucault,69,2.652173913043478,3.5652173913043477,183,246,0.03922683342808414
Butler,234,3.1880341880341883,3.948717948717949,746,924,0.13303013075611142
Lingis,82,2.1463414634146343,2.573170731707317,176,211,0.046617396247868106
Leder,108,2.1203703703703702,2.712962962962963,229,293,0.061398521887436046
Simmel,59,1.728813559322034,2.0338983050847457,102,120,0.033541785105173395
Debeauvoir,127,2.7716535433070866,3.8503937007874014,352,489,0.07220011370096646
Merleauponty,316,4.212025316455696,6.10126582278481,1331,1928,0.17964752700397954
Waldenfels,95,2.3684210526315788,2.9263157894736844,225,278,0.05400795906765207
Gombrich,22,1.9545454545454546,2.090909090909091,43,46,0.012507106310403639
Lyotard,41,1.6829268292682926,2.1219512195121952,69,87,0.023308698123934053
Marks,129,1.7751937984496124,2.046511627906977,229,264,0.07333712336554861
Deleuze,131,2.687022900763359,3.351145038167939,352,439,0.07447413303013076
