name,degree,strength,community,display.label
Gardner S,9,11,Sartre,NA
Morris K,6,9,Sartre,NA
Sartre J,141,227,Sartre,Sartre J
Flynn T,8,12,Sartre,NA
Baldwin T,6,6,Sartre,NA
Cabestan P,7,9,Sartre,NA
Canguilhem G,20,23,Sartre,NA
Descombes V,14,14,Sartre,NA
Jay M,7,8,Sartre,NA
Priest S,7,7,Sartre,NA
Bollnow O,6,11,Bachelard,NA
Bachelard G,34,47,Bachelard,NA
Colonna F,5,5,Bachelard,NA
Joyce J,5,5,Bachelard,NA
Jung C,7,10,Bachelard,NA
Norbergschulz C,5,10,Bachelard,NA
Pallasmaa J,7,9,Bachelard,NA
Piaget J,15,16,Bachelard,NA
Relph E,5,5,Bachelard,NA
Seamon D,9,9,Bachelard,NA
Tuan Y,6,6,Bachelard,NA
Blanc S,2,2,Valery,NA
Skocz D,2,2,Valery,NA
Cassin B,2,2,Valery,NA
Chapsal M,2,2,Valery,NA
Holmes D,2,2,Valery,NA
Morin E,5,7,Valery,NA
Poster M,5,6,Valery,NA
Robbegrillet A,2,2,Valery,NA
Simon C,2,2,Valery,NA
Valery P,8,9,Valery,NA
Silverman H,6,7,Foucault,NA
Sabot P,4,5,Foucault,NA
Claude L,3,3,Foucault,NA
Crary J,6,7,Foucault,NA
Eribon D,6,8,Foucault,NA
Foucault M,65,98,Foucault,Foucault M
Han B,5,6,Foucault,NA
Levistrauss C,15,19,Foucault,NA
Paltrinieri L,3,3,Foucault,NA
Shildrick M,3,3,Foucault,NA
Young I,38,63,Butler,NA
Weiss G,19,24,Butler,NA
Ahmed S,14,21,Butler,NA
Alcoff L,25,35,Butler,NA
Bourdieu P,15,15,Butler,NA
Butler J,61,88,Butler,Butler J
Fanon F,23,28,Butler,NA
Grosz E,23,29,Butler,NA
Irigaray L,27,34,Butler,NA
Kristeva J,14,16,Butler,NA
Sullivan S,14,14,Butler,NA
James S,4,4,Lingis,NA
Sparrow T,5,6,Lingis,NA
Lingis A,15,17,Lingis,NA
Abram D,10,12,Lingis,NA
Acampora R,4,5,Lingis,NA
Bennett J,6,7,Lingis,NA
Braidotti R,6,6,Lingis,NA
Brassier R,5,7,Lingis,NA
Braver L,4,5,Lingis,NA
Bryant L,5,5,Lingis,NA
Code L,4,5,Lingis,NA
Evernden N,4,4,Lingis,NA
Meillassoux Q,12,16,Lingis,NA
Morton T,4,7,Lingis,NA
Plumwood V,4,6,Lingis,NA
Shapiro K,4,6,Lingis,NA
Vogel S,5,5,Lingis,NA
Carel H,8,18,Leder,NA
Svenaeus F,10,14,Leder,NA
Leder D,21,28,Leder,NA
Bordo S,7,8,Leder,NA
Ehrenreich B,5,6,Leder,NA
Frank A,5,7,Leder,NA
Guenther L,5,6,Leder,NA
Nussbaum M,18,22,Leder,NA
Tolstoy L,6,6,Leder,NA
Toombs S,8,16,Leder,NA
Williams S,5,7,Leder,NA
Csordas T,8,15,Simmel,NA
Cassell E,5,5,Simmel,NA
Fischerlichte E,3,3,Simmel,NA
Garner S,3,3,Simmel,NA
Geertz C,5,5,Simmel,NA
Jackson M,4,4,Simmel,NA
Mauss M,6,7,Simmel,NA
May T,5,5,Simmel,NA
Richards R,3,4,Simmel,NA
Schechner R,3,3,Simmel,NA
Simmel G,9,12,Simmel,NA
Bauer N,7,8,Debeauvoir,NA
Lopezsaenz M,7,23,Debeauvoir,NA
Allen J,8,8,Debeauvoir,NA
Bergoffen D,10,10,Debeauvoir,NA
Debeauvoir S,45,68,Debeauvoir,NA
Diprose R,8,10,Debeauvoir,NA
Kruks S,16,20,Debeauvoir,NA
Langer M,7,7,Debeauvoir,NA
Lloyd G,7,8,Debeauvoir,NA
Moi T,15,17,Debeauvoir,NA
