name,degree,strength,community
Heidegger M,2757,37902,Merleauponty
Derrida J,1057,12120,Merleauponty
Hegel G,800,9080,Merleauponty
Kant I,1465,16074,Merleauponty
Levinas E,915,10740,Merleauponty
Merleauponty M,2761,36988,Merleauponty
Ricoeur P,1104,12202,Merleauponty
Gadamer H,726,7502,Merleauponty
Sartre J,1239,13436,Merleauponty
Descartes R,585,4840,Merleauponty
Gallagher S,1536,17428,Zahavi
Clark A,661,5976,Zahavi
Dreyfus H,977,9968,Zahavi
Noe A,738,7580,Zahavi
Thompson E,772,7660,Zahavi
Zahavi D,1548,19922,Zahavi
Gibson J,539,4418,Zahavi
Ratcliffe M,589,5170,Zahavi
Varela F,887,8862,Zahavi
Damasio A,460,3800,Zahavi
Griffiths P,130,852,Solomon
Nussbaum M,284,2196,Solomon
Solomon R,315,2588,Solomon
Goldie P,280,2334,Solomon
Desousa R,137,1154,Solomon
Kenny A,161,1110,Solomon
Roberts R,136,918,Solomon
Deonna J,115,854,Solomon
Frijda N,108,738,Solomon
Lyons W,107,674,Solomon
Wittgenstein L,864,7706,Wittgenstein
Fuchs T,629,5888,Wittgenstein
Jaspers K,407,3416,Wittgenstein
Straus E,207,1720,Wittgenstein
Blankenburg W,188,1682,Wittgenstein
Minkowski E,234,2064,Wittgenstein
Parnas J,353,3064,Wittgenstein
Sass L,359,3228,Wittgenstein
Stanghellini G,233,2062,Wittgenstein
Binswanger L,177,1522,Wittgenstein
Bayne T,579,5888,James
James W,870,7710,James
Searle J,805,8316,James
Dennett D,869,8908,James
Kriegel U,522,5640,James
Mcdowell J,697,7292,James
Tye M,581,7168,James
Block N,598,6552,James
Chalmers D,689,7774,James
Fodor J,524,4838,James
Husserl E,4050,67094,Husserl
Scheler M,771,7434,Husserl
Bernet R,590,6834,Husserl
Fink E,557,6490,Husserl
Gurwitsch A,508,4534,Husserl
Moran D,527,4892,Husserl
Schutz A,521,4678,Husserl
Spiegelberg H,525,4602,Husserl
Steinbock A,543,5140,Husserl
Brentano F,632,6202,Husserl
