name,degree,strength,community,display.label
Agamben G,126,1002,Arendt,NA
Arendt H,253,2078,Arendt,NA
Ranciere J,40,254,Arendt,NA
Benhabib S,66,350,Arendt,NA
Schmitt C,30,182,Arendt,NA
Malpas J,69,350,Arendt,NA
Young J,51,266,Arendt,NA
Mulhall S,64,340,Arendt,NA
Nielsen K,25,100,Arendt,NA
Weil S,26,154,Arendt,NA
Merleauponty M,1289,16216,Merleauponty,Merleauponty M
Barbaras R,205,2094,Merleauponty,NA
Sartre J,579,6204,Merleauponty,Sartre J
Bergson H,187,1594,Merleauponty,NA
Deleuze G,271,2672,Merleauponty,NA
Foucault M,331,3114,Merleauponty,NA
Freud S,169,1528,Merleauponty,NA
Lacan J,147,1236,Merleauponty,NA
Waldenfels B,272,2622,Merleauponty,NA
Lawlor L,128,1062,Merleauponty,NA
Derrida J,691,8072,Derrida,Derrida J
Levinas E,575,7090,Derrida,Levinas E
Marion J,380,4882,Derrida,NA
Nancy J,132,1078,Derrida,NA
Richir M,121,1456,Derrida,NA
Caputo J,158,1368,Derrida,NA
Henry M,325,3858,Derrida,NA
Kierkegaard S,154,1310,Derrida,NA
Greisch J,111,854,Derrida,NA
Janicaud D,198,2018,Derrida,NA
Taylor C,229,1892,Hegel,NA
Hegel G,564,7034,Hegel,Hegel G
Marcuse H,138,978,Hegel,NA
Habermas J,264,2332,Hegel,NA
Hyppolite J,225,2064,Hegel,NA
Kojeve A,153,1264,Hegel,NA
Marx K,172,1304,Hegel,NA
Pinkard T,134,1216,Hegel,NA
Pippin R,167,1538,Hegel,NA
Adorno T,188,1510,Hegel,NA
Heidegger M,1477,20650,Heidegger,Heidegger M
Ricoeur P,596,6778,Heidegger,Ricoeur P
Taminiaux J,95,620,Heidegger,NA
Gadamer H,452,4654,Heidegger,Gadamer H
Kisiel T,154,1350,Heidegger,NA
Rorty R,111,792,Heidegger,NA
Sheehan T,100,678,Heidegger,NA
Van B,86,620,Heidegger,NA
Poggeler O,158,1176,Heidegger,NA
Dilthey W,86,642,Heidegger,NA
Dahlstrom D,89,616,Heidegger,NA
Patocka J,166,1736,Patocka,NA
Hagedorn L,11,64,Patocka,NA
Karfik F,20,138,Patocka,NA
Kohak E,34,228,Patocka,NA
Novotny K,29,190,Patocka,NA
Tardivel E,19,104,Patocka,NA
Tassin E,15,78,Patocka,NA
Tucker A,16,96,Patocka,NA
Abrams E,14,78,Patocka,NA
Findlay E,18,102,Patocka,NA
Kouba P,11,78,Patocka,NA
Benjamin W,108,742,Benjamin,NA
Bernardleroy E,21,84,Benjamin,NA
Bloch E,29,122,Benjamin,NA
Brown A,24,96,Benjamin,NA
Cleary A,21,84,Benjamin,NA
Dickens C,21,84,Benjamin,NA
Dugas L,21,84,Benjamin,NA
Findler N,21,84,Benjamin,NA
Fleminger S,21,84,Benjamin,NA
Fouillee A,21,84,Benjamin,NA
Gaynard T,21,84,Benjamin,NA
Grasset J,21,84,Benjamin,NA
Janet P,24,100,Benjamin,NA
Kindberg L,21,84,Benjamin,NA
Lalande A,28,120,Benjamin,NA
Myers F,21,84,Benjamin,NA
Neppe V,21,84,Benjamin,NA
Reed G,21,86,Benjamin,NA
Scott W,21,84,Benjamin,NA
White H,30,146,Benjamin,NA
Kant I,666,7746,Kant,Kant I
Plato,127,1014,Kant,NA
Aristotle,262,2402,Kant,NA
Cassirer E,92,674,Kant,NA
Descartes R,236,2232,Kant,Descartes R
Kuhn T,62,446,Kant,NA
Nietzsche F,271,2490,Kant,NA
Buber M,54,360,Kant,NA
Aquinas,55,356,Kant,NA
Allison H,54,338,Kant,NA
Grosz E,71,530,Butler,NA
Irigaray L,109,836,Butler,NA
Butler J,248,2176,Butler,NA
Heinamaa S,128,1094,Butler,NA
Alcoff L,89,660,Butler,NA
Debeauvoir S,149,1254,Butler,NA
Fanon F,82,664,Butler,NA
Weiss G,61,462,Butler,NA
Young I,149,1224,Butler,NA
Ahmed S,73,476,Butler,NA
Kruks S,61,416,Butler,NA
