name,degree,strength,community,display.label
Lewis H,5,22,Lewis,
Tangney J,5,22,Lewis,
Benedict R,3,12,Lewis,
Scheff T,2,8,Lewis,
Griffiths P,53,412,Solomon,Griffiths P
Solomon R,93,878,Solomon,Solomon R
Frijda N,46,358,Solomon,Frijda N
Scherer K,34,216,Solomon,
Ellsworth P,17,86,Solomon,
Lazarus R,42,318,Solomon,
Ledoux J,38,274,Solomon,
Izard C,15,90,Solomon,
Ekman P,28,184,Solomon,
Schorr A,18,96,Solomon,
Goldie P,90,850,Goldie,Goldie P
Barrie T,10,40,Goldie,
Gaita R,10,40,Goldie,
Horrell D,10,40,Goldie,
John Paul Ii,10,42,Goldie,
Jones L,10,40,Goldie,
Newman J,10,40,Goldie,
Pickard H,10,44,Goldie,
Ratzsch D,10,40,Goldie,
Sapir E,10,40,Goldie,
Brampton S,11,50,Goldie,
Nussbaum M,72,674,Nussbaum,Nussbaum M
Kenny A,45,374,Nussbaum,Kenny A
Robinson J,20,96,Nussbaum,
Deigh J,32,200,Nussbaum,
Russell J,20,82,Nussbaum,
Stocker M,32,204,Nussbaum,
Elster J,18,118,Nussbaum,
Pugmire D,18,92,Nussbaum,
Lambie J,17,78,Nussbaum,
Benzeev A,16,112,Nussbaum,
Charland L,16,92,Nussbaum,
Desousa R,56,562,Desousa,Desousa R
Roberts R,49,428,Desousa,Roberts R
Deonna J,47,406,Desousa,Deonna J
Lyons W,31,236,Desousa,Lyons W
Darms J,35,282,Desousa,
Doring S,34,276,Desousa,
Tappolet C,38,340,Desousa,
Greenspan P,31,218,Desousa,
Helm B,36,242,Desousa,
Brady M,34,262,Desousa,
Strevens M,4,16,Trout,
Trout J,5,20,Trout,
Khalifa K,4,16,Trout,
Kvanvig J,4,16,Trout,
Grimm S,4,16,Trout,
