name,degree,strength,community,display.label
Bleuler E,124,944,Sass,
Conrad K,70,544,Sass,
Henriksen M,59,344,Sass,
Kraepelin E,65,408,Sass,
Parnas J,151,1402,Sass,Parnas J
Sass L,172,1658,Sass,Sass L
Tatossian A,72,476,Sass,
Bovet P,59,346,Sass,
Raballo A,67,422,Sass,
Andreasen N,56,338,Sass,
Jaspers K,172,1470,Jaspers,Jaspers K
Fulford K,22,124,Jaspers,
Mezzich J,7,28,Jaspers,
Sadler J,7,28,Jaspers,
Schwartz M,45,322,Jaspers,
Spitzer R,11,48,Jaspers,
Thornton T,14,68,Jaspers,
Sacks M,7,30,Jaspers,
Sims A,13,62,Jaspers,
Kendell R,16,72,Jaspers,
Wittgenstein L,124,780,Wittgenstein,Wittgenstein L
Hacker P,7,38,Wittgenstein,
Rhees R,5,24,Wittgenstein,
Vonwright G,5,36,Wittgenstein,
Gier N,9,54,Wittgenstein,
Monk R,11,62,Wittgenstein,
Esquirol J,6,24,Wittgenstein,
Read R,6,24,Wittgenstein,
Cassounogues P,5,24,Wittgenstein,
Waismann F,7,36,Wittgenstein,
Demaupassant G,5,20,Wittgenstein,
Dick P,5,20,Wittgenstein,
Renard M,5,20,Wittgenstein,
Wells H,5,20,Wittgenstein,
Engelmann M,6,26,Wittgenstein,
Fuchs T,184,1620,Fuchs,Fuchs T
Straus E,78,632,Fuchs,Straus E
Blankenburg W,108,1010,Fuchs,Blankenburg W
Minkowski E,132,1156,Fuchs,Minkowski E
Stanghellini G,155,1386,Fuchs,Stanghellini G
Binswanger L,76,688,Fuchs,Binswanger L
Kraus A,39,280,Fuchs,
Summa M,23,140,Fuchs,
Tellenbach H,25,192,Fuchs,
Vogeley K,28,166,Fuchs,
Fletcher P,12,50,Leudar,
Badcock J,7,28,Leudar,
Jones S,24,106,Leudar,
Leudar I,29,134,Leudar,
Nayani T,10,44,Leudar,
Seal M,7,28,Leudar,
Waters F,20,82,Leudar,
Aleman A,8,32,Leudar,
Read J,9,38,Leudar,
Jardri R,6,24,Leudar,
Mccarthyjones S,6,24,Leudar,
Diederen K,6,24,Leudar,
Coltheart M,24,116,Gerrans,
Young A,28,150,Gerrans,
Corlett P,29,144,Gerrans,
Ellis H,29,160,Gerrans,
Gerrans P,39,202,Gerrans,
Hirstein W,25,138,Gerrans,
Maher B,36,192,Gerrans,
Stone T,26,142,Gerrans,
Young G,29,160,Gerrans,
Bortolotti L,38,216,Gerrans,
Hadot P,19,76,Broome,
Vanden B,35,194,Broome,
Broome M,40,218,Broome,
Kapur S,29,152,Broome,
Mctaggart J,25,112,Broome,
Custance J,31,148,Broome,
Boisen A,19,76,Broome,
Brett C,19,76,Broome,
Gale R,19,76,Broome,
Kingsley P,19,78,Broome,
Muller E,19,76,Broome,
Podvoll E,19,76,Broome,
Robbiano C,19,76,Broome,
Weisheipl J,19,76,Broome,
Dutta R,18,72,Wiggins,
Holzman P,18,72,Wiggins,
Laing R,48,276,Wiggins,
Radden J,37,204,Wiggins,
Silber E,18,72,Wiggins,
Taylor M,23,98,Wiggins,
Tsuang M,18,72,Wiggins,
Vanos J,30,146,Wiggins,
Wiggins O,51,288,Wiggins,
Graham G,44,274,Wiggins,
Hamilton M,19,84,Wiggins,
Akiskal H,18,72,Wiggins,
Giampierideutsch P,5,20,Giampierideutsch,
Leupoldlowenthal H,5,20,Giampierideutsch,
Meyerpalmedo I,5,20,Giampierideutsch,
Sandler J,5,20,Giampierideutsch,
Schafer R,5,20,Giampierideutsch,
