name,degree,strength,community,display.label
Gallagher S,660,7598,Gallagher,Gallagher S
Sheetsjohnstone M,138,1118,Gallagher,NA
Ratcliffe M,187,1802,Gallagher,Ratcliffe M
Sutton J,67,418,Gallagher,NA
Fuchs T,227,2164,Gallagher,Fuchs T
Leder D,55,408,Gallagher,NA
Svenaeus F,50,354,Gallagher,NA
Colombetti G,115,960,Gallagher,NA
Legrand D,106,760,Gallagher,NA
Montero B,50,322,Gallagher,NA
Gallese V,169,1314,Gallese,NA
Baroncohen S,108,718,Gallese,NA
Gordon R,102,700,Gallese,NA
Krueger J,146,1010,Gallese,NA
Reddy V,139,1086,Gallese,NA
Dejaegher H,168,1474,Gallese,NA
Tomasello M,150,1092,Gallese,NA
Meltzoff A,127,924,Gallese,NA
Stern D,138,1074,Gallese,NA
Trevarthen C,118,922,Gallese,NA
Clark A,328,2954,Clark,Clark A
Noe A,313,3274,Clark,Noe A
Gibson J,194,1724,Clark,Gibson J
Hurley S,99,730,Clark,NA
Wheeler M,125,1030,Clark,NA
Oregan J,111,906,Clark,NA
Froese T,140,1142,Clark,NA
Dipaolo E,117,1048,Clark,NA
Hutto D,145,1220,Clark,NA
Maturana H,96,846,Clark,NA
Bechtel W,39,190,Lakoff,NA
Chapman S,24,96,Lakoff,NA
Cona G,24,96,Lakoff,NA
Engel A,31,148,Lakoff,NA
Fiori S,24,96,Lakoff,NA
Held R,24,104,Lakoff,NA
Kulick J,24,96,Lakoff,NA
Lakoff G,71,418,Lakoff,NA
Little D,24,96,Lakoff,NA
Majewska A,24,96,Lakoff,NA
Morris D,48,288,Lakoff,NA
Munte T,24,98,Lakoff,NA
Richter W,24,96,Lakoff,NA
Singer T,24,102,Lakoff,NA
Singer W,29,134,Lakoff,NA
Urgen B,24,96,Lakoff,NA
Allen M,25,108,Lakoff,NA
Dreyfus H,302,3158,Zahavi,Dreyfus H
Zahavi D,477,5544,Zahavi,Zahavi D
Haugeland J,55,416,Zahavi,NA
Ganeri J,44,292,Zahavi,NA
Garfield J,42,236,Zahavi,NA
Siderits M,49,298,Zahavi,NA
Carman T,63,570,Zahavi,NA
Kelly S,56,436,Zahavi,NA
Baker L,36,198,Zahavi,NA
Romdenhromluc K,35,240,Zahavi,NA
Dewey J,91,616,Dewey,NA
Peirce C,78,502,Dewey,NA
Colapietro V,22,116,Dewey,NA
Noth W,20,96,Dewey,NA
Darwin C,29,150,Dewey,NA
Deely J,22,114,Dewey,NA
Stjernfelt F,23,114,Dewey,NA
Von F,22,104,Dewey,NA
Bateson G,25,144,Dewey,NA
Rosenthal S,20,98,Dewey,NA
Christoff K,55,294,Damasio,NA
Metzinger T,131,938,Damasio,NA
Damasio A,182,1498,Damasio,NA
Johnson M,65,408,Damasio,NA
Blanke O,48,266,Damasio,NA
Ramachandran V,47,284,Damasio,NA
Laberge S,48,246,Damasio,NA
Hobson J,54,298,Damasio,NA
Revonsuo A,49,264,Damasio,NA
Windt J,48,256,Damasio,NA
Thompson E,412,4296,Varela,Thompson E
Varela F,462,4848,Varela,Varela F
Depraz N,133,1326,Varela,NA
Van M,49,336,Varela,NA
Petitmengin C,120,1076,Varela,NA
Vermersch P,71,568,Varela,NA
Petitot J,81,720,Varela,NA
Lutz A,114,1012,Varela,NA
Bitbol M,62,460,Varela,NA
Levanquyen M,49,332,Varela,NA
Roy J,78,570,Varela,NA
