name,strength,community
Husserl E,3796,Husserl
Zahavi D,529,Husserl
Scheler M,334,Husserl
Fink E,311,Husserl
Bernet R,270,Husserl
Brentano F,222,Husserl
Spiegelberg H,210,Husserl
Steinbock A,206,Husserl
Sokolowski R,191,Husserl
Drummond J,186,Husserl
Gurwitsch A,169,Husserl
Biemel W,168,Husserl
Moran D,164,Husserl
Schuhmann K,162,Husserl
Mohanty J,153,Husserl
Landgrebe L,152,Husserl
Crowell S,149,Husserl
Carr D,141,Husserl
Lohmar D,139,Husserl
Cairns D,139,Husserl
Held K,138,Husserl
Kern I,128,Husserl
Smith Dw,124,Husserl
Ingarden R,113,Husserl
Quine W,111,Husserl
Melle U,105,Husserl
Farin I,99,Husserl
Benoist J,97,Husserl
Ryle G,96,Husserl
Luft S,94,Husserl
Frege G,93,Husserl
Tugendhat E,93,Husserl
Smith B,90,Husserl
Welton D,89,Husserl
Follesdal D,89,Husserl
Mulligan K,79,Husserl
Leibniz G,79,Husserl
Hart J,78,Husserl
Embree L,73,Husserl
Brough J,72,Husserl
Strasser S,71,Husserl
Buch E,71,Husserl
Reinach A,70,Husserl
Heinamaa S,69,Husserl
Stroker E,67,Husserl
Sowa R,64,Husserl
Boehm R,59,Husserl
Stumpf C,59,Husserl
Walton R,59,Husserl
Bruzina R,56,Husserl
Mensch J,55,Husserl
Dummett M,55,Husserl
Natorp P,55,Husserl
Thomasson A,55,Husserl
Marbach E,53,Husserl
Hintikka J,52,Husserl
Holenstein E,52,Husserl
Dewarren N,51,Husserl
Deharo A,50,Husserl
Lee N,49,Husserl
Sepp H,49,Husserl
Nenon T,48,Husserl
Costa V,45,Husserl
Zaner R,45,Husserl
Carnap R,45,Husserl
Farber M,44,Husserl
Hartmann N,44,Husserl
Willard D,44,Husserl
Becker O,42,Husserl
Rinofnerkreidl S,42,Husserl
Weyl H,42,Husserl
Iribarne J,41,Husserl
Tieszen R,40,Husserl
Lipps T,40,Husserl
Hopp W,39,Husserl
Meinong A,39,Husserl
Dodd J,38,Husserl
Begout B,38,Husserl
Edie J,38,Husserl
Hopkins B,38,Husserl
Pfander A,38,Husserl
Overgaard S,37,Husserl
Behnke E,37,Husserl
Claesges U,37,Husserl
Levin D,37,Husserl
Friedman M,36,Husserl
Orth E,36,Husserl
Geiger M,35,Husserl
Simons P,35,Husserl
Frings M,34,Husserl
Godel K,34,Husserl
Popper K,34,Husserl
Rollinger R,34,Husserl
Geniusas S,33,Husserl
Mcintyre R,32,Husserl
Vanbreda H,32,Husserl
Wundt W,32,Husserl
Mach E,31,Husserl
Lavigne J,30,Husserl
Rodemeyer L,30,Husserl
Schlick M,30,Husserl
Heidegger M,1999,Heidegger
Ricoeur P,640,Heidegger
Derrida J,638,Heidegger
Levinas E,631,Heidegger
Marion J,439,Heidegger
Gadamer H,372,Heidegger
Henry M,360,Heidegger
Patocka J,251,Heidegger
Nietzsche F,233,Heidegger
Descartes R,216,Heidegger
Aristotle,215,Heidegger
Arendt H,181,Heidegger
Janicaud D,135,Heidegger
Plato,134,Heidegger
Kierkegaard S,115,Heidegger
Nancy J,108,Heidegger
Kisiel T,103,Heidegger
Rorty R,97,Heidegger
Caputo J,91,Heidegger
Poggeler O,83,Heidegger
Lawlor L,78,Heidegger
Tengelyi L,77,Heidegger
Agamben G,76,Heidegger
Dastur F,74,Heidegger
Courtine J,70,Heidegger
Dilthey W,70,Heidegger
Augustine,61,Heidegger
Romano C,60,Heidegger
Taminiaux J,59,Heidegger
Vonherrmann F,59,Heidegger
Sheehan T,58,Heidegger
Greisch J,56,Heidegger
Grondin J,54,Heidegger
Chretien J,53,Heidegger
Dahlstrom D,51,Heidegger
Aquinas,47,Heidegger
Schopenhauer A,47,Heidegger
Sallis J,46,Heidegger
Kearney R,45,Heidegger
Franck D,44,Heidegger
Bernasconi R,43,Heidegger
Westphal M,43,Heidegger
Buber M,43,Heidegger
Critchley S,43,Heidegger
Latour B,43,Heidegger
Lingis A,42,Heidegger
Figal G,41,Heidegger
Marcel G,39,Heidegger
Lacoste J,37,Heidegger
Blanchot M,36,Heidegger
Meillassoux Q,36,Heidegger
Volpi F,35,Heidegger
Otto R,35,Heidegger
Kuhn R,34,Heidegger
Gschwandtner C,34,Heidegger
Rodriguez R,33,Heidegger
Vanburen J,33,Heidegger
Lowith K,31,Heidegger
Rickert H,31,Heidegger
Sloterdijk P,30,Heidegger
Peperzak A,29,Heidegger
Rombach H,29,Heidegger
Kosky J,28,Heidegger
Schleiermacher F,28,Heidegger
Escudero J,27,Heidegger
Gilson E,27,Heidegger
Gondek H,27,Heidegger
Rojcewicz R,27,Heidegger
Vattimo G,27,Heidegger
Baudrillard J,26,Heidegger
Weil S,25,Heidegger
Hart K,24,Heidegger
Mcneill W,24,Heidegger
Gasche R,24,Heidegger
Housset E,24,Heidegger
Gethmann C,24,Heidegger
Haar M,24,Heidegger
Pascal B,24,Heidegger
Richardson W,24,Heidegger
Young J,24,Heidegger
Horner R,23,Heidegger
Falque E,23,Heidegger
Wahl J,23,Heidegger
Thomson I,22,Heidegger
Kohak E,22,Heidegger
Shusterman R,22,Heidegger
Cohen R,21,Heidegger
Krell D,21,Heidegger
Malpas J,21,Heidegger
Gehlen A,20,Heidegger
Granel G,20,Heidegger
Guignon C,20,Heidegger
Makkreel R,20,Heidegger
Milbank J,20,Heidegger
Nishida K,20,Heidegger
Smith N,19,Heidegger
Wood D,19,Heidegger
Bernstein R,19,Heidegger
Camus A,19,Heidegger
Cerbone D,19,Heidegger
Vetter H,19,Heidegger
Merleauponty M,1585,Merleauponty
Sartre J,616,Merleauponty
Foucault M,238,Merleauponty
Deleuze G,232,Merleauponty
Waldenfels B,210,Merleauponty
Barbaras R,172,Merleauponty
Bergson H,155,Merleauponty
Freud S,151,Merleauponty
Butler J,138,Merleauponty
Lacan J,105,Merleauponty
Casey E,89,Merleauponty
Debeauvoir S,87,Merleauponty
Young I,86,Merleauponty
Lyotard J,78,Merleauponty
Bachelard G,75,Merleauponty
Benjamin W,72,Merleauponty
Badiou A,65,Merleauponty
Irigaray L,56,Merleauponty
Dillon M,52,Merleauponty
Barthes R,51,Merleauponty
Bourdieu P,50,Merleauponty
Alcoff L,47,Merleauponty
Piaget J,47,Merleauponty
Dufrenne M,46,Merleauponty
Toadvine T,45,Merleauponty
Proust M,41,Merleauponty
Whitehead A,41,Merleauponty
Levistrauss C,40,Merleauponty
Fanon F,39,Merleauponty
Canguilhem G,38,Merleauponty
Goldstein K,36,Merleauponty
Bollnow O,35,Merleauponty
Desaintaubert E,35,Merleauponty
Grosz E,35,Merleauponty
Simmel G,34,Merleauponty
Ahmed S,33,Merleauponty
Cavell S,33,Merleauponty
Lefort C,32,Merleauponty
Madison G,32,Merleauponty
Bataille G,31,Merleauponty
Stawarska B,29,Merleauponty
Weiss G,29,Merleauponty
Lopezsaenz M,29,Merleauponty
Rilke R,29,Merleauponty
Descombes V,28,Merleauponty
Kohler W,28,Merleauponty
Morris D,27,Merleauponty
Kristeva J,27,Merleauponty
Carbone M,26,Merleauponty
Koffka K,26,Merleauponty
Bimbenet E,25,Merleauponty
Alsaji A,25,Merleauponty
Desaussure F,25,Merleauponty
Flynn T,25,Merleauponty
Landes D,25,Merleauponty
Ranciere J,25,Merleauponty
Gardner S,24,Merleauponty
Sacks O,24,Merleauponty
Sparrow T,22,Merleauponty
Rodrigo P,22,Merleauponty
Escoubas E,22,Merleauponty
Csordas T,22,Merleauponty
Reynolds J,21,Merleauponty
Kruks S,21,Merleauponty
Mauss M,21,Merleauponty
Schilder P,21,Merleauponty
Winnicott D,21,Merleauponty
Sobchack V,20,Merleauponty
Scott J,20,Merleauponty
Carroll N,19,Merleauponty
Gutting G,19,Merleauponty
Oksala J,18,Merleauponty
Foti V,18,Merleauponty
Goffman E,18,Merleauponty
Gordon L,18,Merleauponty
Katz D,18,Merleauponty
Moi T,18,Merleauponty
Baldwin T,17,Merleauponty
Castoriadis C,17,Merleauponty
Collingwood R,17,Merleauponty
Marks L,17,Merleauponty
Valery P,17,Merleauponty
Silverman H,16,Merleauponty
Abram D,16,Merleauponty
Haraway D,16,Merleauponty
Johnson G,16,Merleauponty
Lacouelabarthe P,16,Merleauponty
Seamon D,16,Merleauponty
Sullivan S,16,Merleauponty
Stoller S,15,Merleauponty
Decaro M,15,Merleauponty
Diaz J,15,Merleauponty
Geertz C,15,Merleauponty
Morris K,15,Merleauponty
Simms E,15,Merleauponty
Smith C,14,Merleauponty
Jacquette D,14,Merleauponty
Brassier R,14,Merleauponty
Cabestan P,14,Merleauponty
Gombrich E,14,Merleauponty
Grene M,14,Merleauponty
Han B,14,Merleauponty
Hass L,14,Merleauponty
Lopez M,14,Merleauponty
Priest S,14,Merleauponty
Saenz M,14,Merleauponty
Seel M,14,Merleauponty
Wilson E,14,Merleauponty
Kant I,687,Kant
Hegel G,639,Kant
Habermas J,173,Kant
Taylor C,152,Kant
Adorno T,135,Kant
Marx K,120,Kant
Hyppolite J,112,Kant
Cassirer E,90,Kant
Pippin R,85,Kant
Fichte J,82,Kant
Kojeve A,81,Kant
Honneth A,77,Kant
Brandom R,76,Kant
Schelling F,76,Kant
Locke J,68,Kant
Marcuse H,66,Kant
Pinkard T,63,Kant
Findlay J,54,Kant
Macintyre A,52,Kant
Zizek S,51,Kant
Williams R,49,Kant
Harris H,48,Kant
