name,strength,community
Heidegger M,969,Heidegger
Aristotle,93,Heidegger
Kisiel T,68,Heidegger
Vonherrmann F,45,Heidegger
Poggeler O,39,Heidegger
Dastur F,38,Heidegger
Sheehan T,30,Heidegger
Figal G,28,Heidegger
Vanburen J,27,Heidegger
Dahlstrom D,26,Heidegger
Rodriguez R,23,Heidegger
Volpi F,21,Heidegger
Dilthey W,20,Heidegger
Vattimo G,20,Heidegger
Escudero J,19,Heidegger
Rombach H,18,Heidegger
Haar M,17,Heidegger
Schleiermacher F,17,Heidegger
Rickert H,16,Heidegger
Latour B,15,Heidegger
Mcneill W,14,Heidegger
Granel G,13,Heidegger
Meillassoux Q,13,Heidegger
Richardson W,13,Heidegger
Gethmann C,12,Heidegger
Guignon C,11,Heidegger
Thomson I,10,Heidegger
Gander H,10,Heidegger
Young J,10,Heidegger
Schalow F,9,Heidegger
Ciocan C,9,Heidegger
Aho K,9,Heidegger
Emad P,9,Heidegger
Ott H,9,Heidegger
Crowe B,9,Heidegger
Denker A,9,Heidegger
Lask E,9,Heidegger
Nelson E,9,Heidegger
Trawny P,9,Heidegger
Kafka F,8,Heidegger
Luther M,8,Heidegger
Papenfuss D,8,Heidegger
Zimmerman M,8,Heidegger
Beaufret J,7,Heidegger
Fischer N,7,Heidegger
Garridoperinan J,7,Heidegger
Kalariparambil T,7,Heidegger
Vedder B,7,Heidegger
Vigo A,7,Heidegger
Xolocotzi A,7,Heidegger
Berti E,6,Heidegger
Brague R,6,Heidegger
Capobianco R,6,Heidegger
Cerbone D,6,Heidegger
Coriando P,6,Heidegger
Heideggerm,6,Heidegger
Malpas J,6,Heidegger
Mitchell A,6,Heidegger
Polt R,6,Heidegger
Ruggenini M,6,Heidegger
Vonhermann F,6,Heidegger
Welte B,6,Heidegger
Levinas E,359,Levinas
Plato,56,Levinas
Franck D,32,Levinas
Peperzak A,20,Levinas
Marcel G,16,Levinas
Cohen R,13,Levinas
Rosenzweig F,9,Levinas
Vetter H,9,Levinas
Bloechl J,8,Levinas
Amery J,7,Levinas
Colette J,7,Levinas
Poirie F,7,Levinas
Wahl J,7,Levinas
Gibbs R,6,Levinas
Hand S,6,Levinas
Malka S,6,Levinas
Rolland J,6,Levinas
Marion J,350,Marion
Janicaud D,100,Marion
Caputo J,79,Marion
Chretien J,50,Marion
Augustine,41,Marion
Romano C,39,Marion
Lacoste J,35,Marion
Gschwandtner C,33,Marion
Kearney R,32,Marion
Westphal M,30,Marion
Blanchot M,30,Marion
Kosky J,25,Marion
Horner R,22,Marion
Falque E,21,Marion
Hart K,21,Marion
Aquinas,19,Marion
Milbank J,19,Marion
Devries H,17,Marion
Gilson E,17,Marion
Gondek H,17,Marion
Manoussakis J,17,Marion
Zarader M,16,Marion
Pascal B,16,Marion
Carlson T,15,Marion
Mackinlay S,14,Marion
Benson B,12,Marion
Simmons J,12,Marion
Capelle P,11,Marion
Schrijvers J,10,Marion
Canullo C,10,Marion
Vonbalthasar H,9,Marion
Ward G,9,Marion
Jones T,8,Marion
Plantinga A,8,Marion
Gilbert P,7,Marion
Coward H,7,Marion
Delibera A,7,Marion
Laruelle F,6,Marion
Derrida J,324,Derrida
Nancy J,53,Derrida
Lawlor L,25,Derrida
Critchley S,25,Derrida
Bernasconi R,24,Derrida
Sallis J,17,Derrida
Llewelyn J,13,Derrida
Krell D,12,Derrida
Macquarrie J,12,Derrida
Wood D,11,Derrida
Gasche R,11,Derrida
Rojcewicz R,10,Derrida
Bennington G,8,Derrida
Calarco M,8,Derrida
Drabinski J,7,Derrida
Marrati P,7,Derrida
Thao T,7,Derrida
Baring E,6,Derrida
Ricoeur P,301,Ricoeur
Greisch J,45,Ricoeur
Tengelyi L,20,Ricoeur
Sebbah F,15,Ricoeur
Housset E,14,Ricoeur
Barth K,11,Ricoeur
Michel J,8,Ricoeur
Bonhoeffer D,6,Ricoeur
Changeux J,6,Ricoeur
Petit J,6,Ricoeur
Henry M,243,Henry
Descartes R,77,Henry
Courtine J,52,Henry
Kuhn R,18,Henry
Casper B,14,Henry
Eckhart M,14,Henry
Safranski R,14,Henry
Weil S,11,Henry
Staudigl M,10,Henry
Tilliette X,10,Henry
Audi P,9,Henry
Rivera J,8,Henry
Frankl V,8,Henry
Laoureux S,7,Henry
Bauman Z,7,Henry
Riquier C,6,Henry
Aubenque P,6,Henry
Dufourkowalska G,6,Henry
Jaeger W,6,Henry
Lipsitz M,6,Henry
Longneaux J,6,Henry
Gadamer H,162,Gadamer
Grondin J,46,Gadamer
Lowith K,12,Gadamer
Makkreel R,11,Gadamer
Riedel M,11,Gadamer
Vargas G,8,Gadamer
Risser J,7,Gadamer
Celan P,7,Gadamer
Reeder H,6,Gadamer
Patocka J,141,Patocka
Karfik F,15,Patocka
Kohak E,13,Patocka
Novotny K,12,Patocka
Blecha I,9,Patocka
Kouba P,8,Patocka
Dosse F,8,Patocka
Findlay E,8,Patocka
Tardivel E,7,Patocka
Chvatik I,7,Patocka
Major L,7,Patocka
Abrams E,7,Patocka
Garrido J,7,Patocka
Jankelevitch V,7,Patocka
