name,strength,community
Heidegger M,969,Heidegger
Aristotle,93,Heidegger
Kisiel T,68,Heidegger
Vonherrmann F,45,Heidegger
Poggeler O,39,Heidegger
Dastur F,38,Heidegger
Sheehan T,30,Heidegger
Figal G,28,Heidegger
Vanburen J,27,Heidegger
Dahlstrom D,26,Heidegger
Levinas E,359,Levinas
Plato,56,Levinas
Franck D,32,Levinas
Marion J,350,Marion
Janicaud D,100,Marion
Caputo J,79,Marion
Chretien J,50,Marion
Augustine,41,Marion
Romano C,39,Marion
Lacoste J,35,Marion
Gschwandtner C,33,Marion
Kearney R,32,Marion
Westphal M,30,Marion
Blanchot M,30,Marion
Derrida J,324,Derrida
Nancy J,53,Derrida
Lawlor L,25,Derrida
Critchley S,25,Derrida
Bernasconi R,24,Derrida
Ricoeur P,301,Ricoeur
Greisch J,45,Ricoeur
Henry M,243,Henry
Descartes R,77,Henry
Courtine J,52,Henry
Gadamer H,162,Gadamer
Grondin J,46,Gadamer
Patocka J,141,Patocka
Nietzsche F,120,Nietzsche
Arendt H,90,Arendt
Agamben G,47,Arendt
Taminiaux J,29,Arendt
Kierkegaard S,71,Kierkegaard
Rorty R,28,Rorty
Buber M,22,Buber
