name,strength,community
Husserl E,1957,Husserl
Fink E,175,Husserl
Bernet R,173,Husserl
Biemel W,120,Husserl
Kern I,104,Husserl
Lohmar D,100,Husserl
Melle U,95,Husserl
Landgrebe L,93,Husserl
Held K,87,Husserl
Welton D,57,Husserl
Tugendhat E,54,Husserl
Sowa R,53,Husserl
Buch E,49,Husserl
Stroker E,48,Husserl
Boehm R,45,Husserl
Lee N,45,Husserl
Strasser S,42,Husserl
Nenon T,39,Husserl
Dewarren N,37,Husserl
Marbach E,34,Husserl
Bruzina R,34,Husserl
Sepp H,33,Husserl
Mensch J,32,Husserl
Claesges U,30,Husserl
Dodd J,27,Husserl
Orth E,26,Husserl
Aguirre A,25,Husserl
Lotz C,23,Husserl
Costa V,21,Husserl
Overgaard S,20,Husserl
Panzer U,20,Husserl
Vanbreda H,20,Husserl
Rang B,19,Husserl
Peucker H,18,Husserl
Depalma V,18,Husserl
Begout B,16,Husserl
Brand G,15,Husserl
Janssen P,14,Husserl
Sakakibara T,13,Husserl
Soffer G,13,Husserl
Ferenczflatz C,13,Husserl
Montavont A,13,Husserl
Wiesing L,12,Husserl
Taguchi S,12,Husserl
Eley L,11,Husserl
Donohoe J,10,Husserl
Alves P,10,Husserl
Lembeck K,10,Husserl
Volonte P,10,Husserl
Yamaguchi I,9,Husserl
Hering J,9,Husserl
Mckenna W,9,Husserl
Molchanov V,8,Husserl
Asemissen H,8,Husserl
Chernyakov A,7,Husserl
Desantis D,7,Husserl
Ehrenfels C,7,Husserl
Larrabee M,7,Husserl
Niel L,6,Husserl
Alweiss L,6,Husserl
Brudzinska J,6,Husserl
Borisov E,6,Husserl
Diemer A,6,Husserl
Elliott B,6,Husserl
Fonfara D,6,Husserl
Spahn C,6,Husserl
Vonullrich M,6,Husserl
Zahavi D,215,Zahavi
Drummond J,141,Zahavi
Gurwitsch A,95,Zahavi
Moran D,85,Zahavi
Carr D,85,Zahavi
Crowell S,83,Zahavi
Smith Dw,78,Zahavi
Luft S,73,Zahavi
Follesdal D,71,Zahavi
Smith B,61,Zahavi
Farin I,59,Zahavi
Benoist J,47,Zahavi
Willard D,40,Zahavi
Rinofnerkreidl S,36,Zahavi
Hintikka J,32,Zahavi
Natorp P,32,Zahavi
Thomasson A,32,Zahavi
Simons P,29,Zahavi
Hopp W,27,Zahavi
Staiti A,25,Zahavi
Heffernan G,23,Zahavi
Philipse H,23,Zahavi
Deboer T,22,Zahavi
Hardy L,19,Zahavi
Mcintyre R,19,Zahavi
Bell D,18,Zahavi
Jacobs H,16,Zahavi
Lavigne J,15,Zahavi
Brainard M,13,Zahavi
Bonjour L,12,Zahavi
Breeur R,11,Zahavi
Beyer C,11,Zahavi
Churchill J,11,Zahavi
Fine K,10,Zahavi
Shim M,10,Zahavi
Smith D,10,Zahavi
Heim M,9,Zahavi
Kunne W,9,Zahavi
Miller J,9,Zahavi
Weiler M,9,Zahavi
Windelband W,9,Zahavi
Yoshimi J,8,Zahavi
Taipale J,8,Zahavi
Buckley R,8,Zahavi
Keller P,8,Zahavi
Rochat P,8,Zahavi
Wiltsche H,8,Zahavi
Martin W,7,Zahavi
Erhard C,7,Zahavi
Aldea A,7,Zahavi
Conee E,7,Zahavi
Drue H,7,Zahavi
Harvey C,7,Zahavi
Lubbe H,7,Zahavi
Macdonald P,7,Zahavi
Vancleve J,7,Zahavi
Doyon M,6,Zahavi
Hickerson R,6,Zahavi
De Preester H,6,Zahavi
Gabriel M,6,Zahavi
Scheler M,153,Schuhmann
Schuhmann K,139,Schuhmann
Spiegelberg H,109,Schuhmann
Mulligan K,55,Schuhmann
Reinach A,49,Schuhmann
Geiger M,30,Schuhmann
Pfander A,30,Schuhmann
Lipps T,26,Schuhmann
Meinong A,26,Schuhmann
Hartmann N,23,Schuhmann
Vonhildebrand D,21,Schuhmann
Wundt W,21,Schuhmann
Frings M,20,Schuhmann
Ni L,20,Schuhmann
Schapp W,18,Schuhmann
Henckmann W,14,Schuhmann
Loidolt S,12,Schuhmann
Demonticelli R,12,Schuhmann
Smid R,12,Schuhmann
Ferrer U,11,Schuhmann
Popper K,11,Schuhmann
Crespo M,10,Schuhmann
Avelallemant E,10,Schuhmann
Conrad T,10,Schuhmann
Blosser P,9,Schuhmann
Dewaelhens A,8,Schuhmann
Dubois J,8,Schuhmann
Hildebrand D,8,Schuhmann
Kolnai A,8,Schuhmann
Spader P,8,Schuhmann
Seifert J,6,Schuhmann
Frechette G,6,Schuhmann
Crosby J,6,Schuhmann
Hofmann H,6,Schuhmann
Linke P,6,Schuhmann
Metzger A,6,Schuhmann
Schwarz B,6,Schuhmann
Vendrell F,6,Schuhmann
Voigtlander E,6,Schuhmann
Brentano F,141,Brentano
Frege G,47,Brentano
Stumpf C,45,Brentano
Dummett M,35,Brentano
Rollinger R,32,Brentano
Bolzano B,25,Brentano
Deharo A,24,Brentano
Twardowski K,24,Brentano
Geniusas S,23,Brentano
Ierna C,19,Brentano
Kusch M,15,Brentano
Mach E,15,Brentano
Cohen H,14,Brentano
Lotze H,13,Brentano
Majolino C,12,Brentano
Cantor G,12,Brentano
Lotze R,12,Brentano
Marty A,11,Brentano
Buytendijk F,10,Brentano
Fisette D,9,Brentano
Herbart J,9,Brentano
Kraus O,9,Brentano
Soldati G,8,Brentano
Seron D,8,Brentano
Smith Q,8,Brentano
Dewalque A,8,Brentano
Schuhmann E,8,Brentano
Ash M,7,Brentano
Scarry E,7,Brentano
Pradelle D,6,Brentano
Hofler A,6,Brentano
Varga P,6,Brentano
Wolff C,6,Brentano
Sokolowski R,137,Sokolowski
Hart J,65,Sokolowski
Brough J,57,Sokolowski
Kortooms T,20,Sokolowski
Prufer T,9,Sokolowski
Saraiva M,9,Sokolowski
Goto H,7,Sokolowski
Jakobson R,7,Sokolowski
Deroo N,6,Sokolowski
Ubiali M,6,Sokolowski
Mohanty J,121,Mohanty
Cairns D,93,Mohanty
Embree L,36,Mohanty
Farber M,31,Mohanty
Edie J,23,Mohanty
Behnke E,21,Mohanty
Seebohm T,19,Mohanty
Zaner R,18,Mohanty
Kersten F,18,Mohanty
Cobbstevens R,17,Mohanty
Funke G,16,Mohanty
Levin D,15,Mohanty
Berger G,11,Mohanty
Cho K,10,Mohanty
Mall R,9,Mohanty
Pietersma H,8,Mohanty
Grathoff R,8,Mohanty
Wild J,8,Mohanty
Comte A,7,Mohanty
Motroshilova N,6,Mohanty
Chandler A,6,Mohanty
Gibson W,6,Mohanty
Smith F,6,Mohanty
Steinbock A,113,Steinbock
Holenstein E,42,Steinbock
Leibniz G,38,Steinbock
Walton R,38,Steinbock
Iribarne J,26,Steinbock
Heinamaa S,19,Steinbock
Vongehr T,18,Steinbock
Rodemeyer L,17,Steinbock
Garciabaro M,13,Steinbock
Mertens K,11,Steinbock
Gaos J,11,Steinbock
Rabanaque L,11,Steinbock
Zirion Aq,10,Steinbock
Fleischer M,10,Steinbock
Majer U,9,Steinbock
Biceaga B,8,Steinbock
Villoro L,8,Steinbock
Vargasbejarano J,7,Steinbock
Bower M,6,Steinbock
Cristin R,6,Steinbock
Zhok A,6,Steinbock
Buckley P,6,Steinbock
Vonwright G,6,Steinbock
Ingarden R,85,Ingarden
Chrudzimski A,14,Ingarden
Wolenski J,10,Ingarden
Fellmann F,9,Ingarden
Kolakowski L,8,Ingarden
Miskiewicz W,7,Ingarden
Blaustein L,7,Ingarden
Poli R,7,Ingarden
Tischner J,7,Ingarden
Poltner G,6,Ingarden
Rizzoli L,6,Ingarden
Quine W,63,Quine
Becker O,35,Quine
Weyl H,35,Quine
Tieszen R,33,Quine
Carnap R,28,Quine
Godel K,24,Quine
Parsons C,24,Quine
Schlick M,22,Quine
Wang H,21,Quine
Dasilva J,20,Quine
Feferman S,18,Quine
Mancosu P,18,Quine
Friedman M,17,Quine
Vanatten M,17,Quine
Hartimo M,16,Quine
Centrone S,16,Quine
Bachelard S,13,Quine
Haddock G,13,Quine
Tarski A,12,Quine
Peckhaus V,11,Quine
Vandalen D,11,Quine
Brouwer L,10,Quine
Mill J,10,Quine
Ryckman T,10,Quine
Stroud B,10,Quine
Tragesser R,10,Quine
Helmholtz H,9,Quine
Mahnke D,9,Quine
Benacerraf P,8,Quine
Church A,8,Quine
Lambert J,8,Quine
Livingston P,8,Quine
Maddy P,8,Quine
Vanheijenoort J,8,Quine
Dedekind R,7,Quine
Einstein A,7,Quine
Grassmann H,7,Quine
Miller I,7,Quine
Schilpp P,7,Quine
Woodin W,7,Quine
Hauser K,6,Quine
Kleene S,6,Quine
Tait W,6,Quine
Troelstra A,6,Quine
Ryle G,35,Ryle
Kaufmann F,9,Ryle
Rosadohaddock G,8,Ryle
Gordon P,7,Ryle
Vandepitte M,6,Ryle
Hopkins B,31,Hopkins
Galileo G,11,Hopkins
Klein J,11,Hopkins
Newton I,7,Hopkins
Shapiro S,6,Hopkins
Sezemanas V,9,Patzig
