community,size,mean.degree,mean.strength,total.degree,total.strength,relative.size
Husserl,316,7.344936708860759,13.120253164556962,2321,4146,0.18798334324806662
Brentano,198,6.040404040404041,7.883838383838384,1196,1561,0.11778703152885188
Zahavi,155,6.987096774193549,9.212903225806452,1083,1428,0.09220701963117192
Schuhmann,245,4.359183673469388,5.8612244897959185,1068,1436,0.1457465794170137
Quine,290,3.0068965517241377,3.962068965517241,872,1149,0.17251635930993456
Mohanty,104,4.5,5.913461538461538,468,615,0.061867935752528254
Fink,74,4.918918918918919,6.554054054054054,364,485,0.044021415823914334
Sokolowski,60,4.383333333333334,6.166666666666667,263,370,0.03569303985722784
Ingarden,91,2.3846153846153846,3.5494505494505493,217,323,0.05413444378346222
Stroker,58,2.8793103448275863,3.6379310344827585,167,211,0.034503271861986914
Molchanov,30,2.1333333333333333,2.3,64,69,0.01784651992861392
Patzig,25,1.64,2.68,41,67,0.0148720999405116
Gabriel,19,1.5789473684210527,2.473684210526316,30,47,0.011302795954788817
