name,strength,community
Merleauponty M,704,Merleauponty
Barbaras R,92,Merleauponty
Dillon M,38,Merleauponty
Casey E,37,Merleauponty
Toadvine T,34,Merleauponty
Desaintaubert E,30,Merleauponty
Goldstein K,24,Merleauponty
Carbone M,23,Merleauponty
Proust M,21,Merleauponty
Sartre J,221,Sartre
Canguilhem G,23,Sartre
Deleuze G,102,Deleuze
Bergson H,71,Deleuze
Badiou A,28,Deleuze
Benjamin W,27,Deleuze
Foucault M,99,Foucault
Levistrauss C,25,Foucault
Butler J,84,Butler
Debeauvoir S,68,Butler
Young I,61,Butler
Irigaray L,34,Butler
Alcoff L,33,Butler
Fanon F,26,Butler
Weiss G,25,Butler
Waldenfels B,65,Waldenfels
Freud S,62,Freud
Lacan J,47,Freud
Lyotard J,33,Freud
Bachelard G,41,Bachelard
Barthes R,21,Bachelard
Grosz E,30,Grosz
Lopezsaenz M,23,Grosz
Dufrenne M,22,Dufrenne
