name,strength,community
Merleauponty M,704,Merleauponty
Barbaras R,92,Merleauponty
Dillon M,38,Merleauponty
Casey E,37,Merleauponty
Toadvine T,34,Merleauponty
Desaintaubert E,30,Merleauponty
Goldstein K,24,Merleauponty
Carbone M,23,Merleauponty
Proust M,21,Merleauponty
Madison G,18,Merleauponty
Morris D,17,Merleauponty
Bimbenet E,17,Merleauponty
Bourdieu P,16,Merleauponty
Landes D,16,Merleauponty
Lefort C,16,Merleauponty
Descombes V,14,Merleauponty
Moutinho L,13,Merleauponty
Ranciere J,13,Merleauponty
Schilder P,13,Merleauponty
Rodrigo P,12,Merleauponty
Johnson G,12,Merleauponty
Whitehead A,12,Merleauponty
Reynolds J,11,Merleauponty
Abram D,11,Merleauponty
Desaussure F,11,Merleauponty
Foti V,11,Merleauponty
Hass L,11,Merleauponty
Geraets T,10,Merleauponty
Kwant R,10,Merleauponty
Rilke R,10,Merleauponty
Slatman J,9,Merleauponty
Baldwin T,9,Merleauponty
Vallier R,9,Merleauponty
Evans F,8,Merleauponty
Garcia E,8,Merleauponty
Bataille G,8,Merleauponty
Collingwood R,8,Merleauponty
Mallin S,8,Merleauponty
Kristensen S,7,Merleauponty
Trigg D,7,Merleauponty
Eisenstein S,7,Merleauponty
Marratto S,7,Merleauponty
Welsh T,7,Merleauponty
Maclaren K,6,Merleauponty
Escoubas E,6,Merleauponty
Coole D,6,Merleauponty
Hagberg G,6,Merleauponty
Politzer G,6,Merleauponty
Robert F,6,Merleauponty
Singer L,6,Merleauponty
Visker R,6,Merleauponty
Sartre J,221,Sartre
Canguilhem G,23,Sartre
Gardner S,14,Sartre
Flynn T,14,Sartre
Stawarska B,13,Sartre
Cabestan P,10,Sartre
Morris K,9,Sartre
Decoorebyter V,7,Sartre
Sacks O,7,Sartre
Deleuze G,102,Deleuze
Bergson H,71,Deleuze
Badiou A,28,Deleuze
Benjamin W,27,Deleuze
Bazin A,9,Deleuze
Hallward P,9,Deleuze
Seel M,6,Deleuze
Foucault M,99,Foucault
Levistrauss C,25,Foucault
Oksala J,11,Foucault
Priest S,8,Foucault
Crary J,7,Foucault
Han B,7,Foucault
Poster M,7,Foucault
Eribon D,6,Foucault
Gutting G,6,Foucault
Morton T,6,Foucault
Silva C,6,Foucault
Butler J,84,Butler
Debeauvoir S,68,Butler
Young I,61,Butler
Irigaray L,34,Butler
Alcoff L,33,Butler
Fanon F,26,Butler
Weiss G,25,Butler
Kruks S,20,Butler
Ahmed S,19,Butler
Alsaji A,18,Butler
Moi T,17,Butler
Sullivan S,15,Butler
Stoller S,14,Butler
Gordon L,14,Butler
Scott J,14,Butler
Kristeva J,13,Butler
Simons M,13,Butler
Fisher L,11,Butler
Olkowski D,11,Butler
Diprose R,11,Butler
Yancy G,10,Butler
Bergoffen D,10,Butler
Bartky S,9,Butler
Dubois W,9,Butler
Ledoeuff M,9,Butler
Mills C,9,Butler
Bauer N,8,Butler
Cavarero A,8,Butler
Goffman E,8,Butler
Ortega M,8,Butler
Anzaldua G,7,Butler
Balibar E,7,Butler
Fraser N,7,Butler
Hamington M,7,Butler
Langer M,7,Butler
Lugones M,7,Butler
Arp K,6,Butler
Lundgrengothlin E,6,Butler
Waldenfels B,65,Waldenfels
Winnicott D,10,Waldenfels
Kohler W,7,Waldenfels
Brunschvicg L,6,Waldenfels
Freud S,62,Freud
Lacan J,47,Freud
Lyotard J,33,Freud
Castoriadis C,11,Freud
Simmel G,11,Freud
Pontalis J,9,Freud
Silverman H,7,Freud
Laplanche J,7,Freud
Green A,6,Freud
Wallon H,6,Freud
Bachelard G,41,Bachelard
Barthes R,21,Bachelard
Piaget J,17,Bachelard
Bollnow O,14,Bachelard
Norbergschulz C,10,Bachelard
Pallasmaa J,9,Bachelard
Seamon D,9,Bachelard
Simms E,9,Bachelard
Tuan Y,6,Bachelard
Grosz E,30,Grosz
Lopezsaenz M,23,Grosz
Lopez M,13,Grosz
Diaz J,10,Grosz
Penas B,9,Grosz
Saenz M,9,Grosz
Allen J,8,Grosz
Lloyd G,8,Grosz
Zambrano M,8,Grosz
Ramirez M,7,Grosz
Bigwood C,6,Grosz
Lopez S,6,Grosz
Valery P,6,Grosz
Dufrenne M,22,Dufrenne
Woolf V,6,Dufrenne
Sobchack V,16,Sobchack
Cavell S,16,Sobchack
Marks L,14,Sobchack
Bordwell D,7,Sobchack
Carroll N,6,Sobchack
Connor S,6,Sobchack
Delrio E,6,Sobchack
Elsaesser T,6,Sobchack
Massumi B,6,Sobchack
Metz C,6,Sobchack
Csordas T,13,Csordas
Haraway D,7,Csordas
Mauss M,7,Csordas
Code L,6,Csordas
Plumwood V,6,Csordas
Gilligan C,9,Gilligan
Tronto J,8,Gilligan
Held V,6,Gilligan
