name,degree,strength,community
Husserl E,1550,3796,Husserl
Heidegger M,1122,1999,Heidegger
Merleauponty M,909,1585,Merleauponty
Kant I,516,687,Kant
Ricoeur P,414,640,Heidegger
Hegel G,407,639,Kant
Derrida J,410,638,Heidegger
Levinas E,384,631,Heidegger
Sartre J,427,616,Merleauponty
Zahavi D,372,529,Husserl
Marion J,221,439,Heidegger
Dreyfus H,244,427,Gallagher
Gallagher S,298,393,Gallagher
Gadamer H,279,372,Heidegger
Henry M,211,360,Heidegger
Varela F,173,335,Gallagher
Scheler M,213,334,Husserl
Fink E,213,311,Husserl
Dennett D,179,273,James
Bernet R,203,270,Husserl
Searle J,177,256,James
Patocka J,137,251,Heidegger
Foucault M,173,238,Merleauponty
Nietzsche F,177,233,Heidegger
Deleuze G,167,232,Merleauponty
Chalmers D,144,224,James
Brentano F,164,222,Husserl
James W,190,222,James
Mcdowell J,162,216,James
Descartes R,181,216,Heidegger
Aristotle,185,215,Heidegger
Waldenfels B,150,210,Merleauponty
Spiegelberg H,165,210,Husserl
Schutz A,137,207,Schutz
Steinbock A,125,206,Husserl
Richir M,90,198,Richir
Sokolowski R,138,191,Husserl
Drummond J,120,186,Husserl
Arendt H,125,181,Heidegger
Habermas J,132,173,Kant
Barbaras R,122,172,Merleauponty
Thompson E,135,169,Gallagher
Gurwitsch A,121,169,Husserl
Noe A,136,168,Gallagher
Biemel W,133,168,Husserl
Moran D,137,164,Husserl
Schuhmann K,113,162,Husserl
Horgan T,90,158,James
Tye M,114,155,James
Bergson H,123,155,Merleauponty
Mohanty J,113,153,Husserl
Landgrebe L,116,152,Husserl
Stein E,114,152,Stein
Taylor C,114,152,Kant
Freud S,121,151,Merleauponty
Crowell S,107,149,Husserl
Depraz N,119,146,Gallagher
Fodor J,100,144,James
Fuchs T,104,143,Fuchs
Carr D,109,141,Husserl
Clark A,116,140,James
Lohmar D,107,139,Husserl
Cairns D,113,139,Husserl
Held K,112,138,Husserl
Butler J,99,138,Merleauponty
Nagel T,128,137,James
Block N,105,136,James
Hume D,118,136,James
Janicaud D,109,135,Heidegger
Adorno T,103,135,Kant
Plato,126,134,Heidegger
Kern I,104,128,Husserl
Gibson J,106,127,Gallagher
Smith Dw,92,124,Husserl
Bayne T,93,124,James
Dretske F,97,123,James
Jaspers K,94,122,Fuchs
Kriegel U,95,121,James
Marx K,93,120,Kant
Strawson G,87,116,James
Ratcliffe M,96,115,Fuchs
Kierkegaard S,87,115,Heidegger
Ingarden R,79,113,Husserl
Hyppolite J,95,112,Kant
Davidson D,94,111,James
Prinz J,87,111,James
Quine W,72,111,Husserl
Nancy J,71,108,Heidegger
Putnam H,84,108,James
Damasio A,89,106,Gallagher
Melle U,79,105,Husserl
Goldman A,68,105,James
Lacan J,77,105,Merleauponty
Peacocke C,91,104,James
Kisiel T,75,103,Heidegger
Russell B,83,103,James
San M,59,102,Ortegaygasset
Sass L,50,101,Fuchs
Siewert C,75,101,James
Farin I,85,99,Husserl
Peirce C,54,98,Peirce
Benoist J,77,97,Husserl
Martin M,58,97,James
Ortegaygasset J,70,97,Ortegaygasset
Rorty R,87,97,Heidegger
Ryle G,85,96,Husserl
Harman G,75,95,James
Luft S,76,94,Husserl
Frege G,82,93,Husserl
Tugendhat E,74,93,Husserl
Solomon R,75,92,James
Caputo J,67,91,Heidegger
Strawson P,78,91,James
Smith B,77,90,Husserl
Cassirer E,72,90,Kant
