name,value,new.name
32377,AALL A,AALL A
6643,AALTOLA ELISA,AALTOLA E
26442,AARON JANE,AARON J
30782,AARONS L,AARONS L
6689,AARONSON S,AARONSON S
10648,AARSETH ESPEN,AARSETH E
16506,AARSLEFF HANS,AARSLEFF H
6818,AARTS H,AARTS H
28089,AARTS J,AARTS J
21939,AAVV,AAVV
28954,ABAD F,ABAD F
5674,ABBAGNANO N,ABBAGNANO N
16053,ABBAGNANO NICOLA,ABBAGNANO N
2895,ABBEY JENNIFER,ABBEY J
4957,ABBEY R,ABBEY R
9736,ABBEY RUTH,ABBEY R
20566,ABBLETT M,ABBLETT M
23633,ABBOTT E A,ABBOTT E
3172,ABBOTT LF,ABBOTT L
13691,ABBOTT M,ABBOTT M
2204,ABBOTT MN,ABBOTT M
6819,ABDALLAH S,ABDALLAH S
8341,ABDULLAH MA,ABDULLAH M
8967,ABDULMASIH MARGUERITE,ABDULMASIH M
28191,ABE M,ABE M
28471,ABEL G,ABEL G
31237,ABEL K,ABEL K
23510,ABEL OLIVIER,ABEL O
25583,ABELA AV,ABELA A
23714,ABELL,ABELL
20337,ABELL C,ABELL C
22912,ABELLA M,ABELLA M
5616,ABELLON PAMELA,ABELLON P
15561,ABELS H,ABELS H
14172,ABENSOR M,ABENSOR M
22,ABENSOUR M,ABENSOUR M
23,ABENSOUR MIGUEL,ABENSOUR M
6774,ABERCROMBIE STANLEY,ABERCROMBIE S
18721,ABERDEIN A,ABERDEIN A
17538,ABERNETHY B,ABERNETHY B
3012,ABETTAN C,ABETTAN C
6170,ABHAYAKARAGUPTA,ABHAYAKARAGUPTA
26076,ABIKOFF H,ABIKOFF H
25948,ABIRACHED JM,ABIRACHED J
29778,ABISH WALTER,ABISH W
27450,ABLALI D,ABLALI D
29647,ABOULAFIA M,ABOULAFIA M
5008,ABOY CARLES G,ABOY C
4395,ABRAHAM A,ABRAHAM A
26724,ABRAHAM N,ABRAHAM N
27972,ABRAHAM NICHOLAS,ABRAHAM N
28413,ABRAHAM R,ABRAHAM R
28022,ABRAM,ABRAM
21134,ABRAM D,ABRAM D
6063,ABRAM DAVID,ABRAM D
16356,ABRAMOV AI,ABRAMOV A
2896,ABRAMOVIC MARINA,ABRAMOVIC M
26381,ABRAMOWICZ J,ABRAMOWICZ J
28414,ABRAMS D,ABRAMS D
16264,ABRAMS DANIEL,ABRAMS D
22565,ABRAMS DE ERIKA,ABRAMS D
12680,ABRAMS E,ABRAMS E
12035,ABRAMS ERIKA,ABRAMS E
17416,ABRAMS M H,ABRAMS M
22342,ABRAMS R,ABRAMS R
27920,ABRAMS RA,ABRAMS R
13481,ABRAMSON K,ABRAMSON K
