name,degree,strength,community
Heidegger M,831,1411,1
Derrida J,304,461,1
Levinas E,282,472,1
Ricoeur P,271,391,1
Gadamer H,207,283,1
Henry M,161,280,1
Marion J,157,300,1
Descartes R,142,164,1
Aristotle,142,158,1
Nietzsche F,136,172,1
Arendt H,101,138,1
Janicaud D,83,97,1
Plato,79,83,1
Kierkegaard S,73,96,1
Kisiel T,68,87,1
Poggeler O,65,73,1
Caputo J,57,77,1
Nancy J,53,83,1
Heidegger,52,54,1
Smith J,51,61,1
Schmitz H,40,56,2
Plessner H,31,39,2
Bollnow O,22,26,2
Bohme G,19,23,2
Seel M,9,10,2
Sommer M,8,9,2
Priest G,8,8,2
Belting H,7,7,2
Von Goethe J,7,7,2
Lipps H,7,8,2
Musil R,7,7,2
Boehm G,7,8,2
Pinotti A,6,7,2
Elkins J,6,6,2
Konig J,6,6,2
Rodi F,6,6,2
Carroll L,6,6,2
Kruger H,5,4,2
Schneider H,5,6,2
Klages L,5,6,2
Norman D,5,6,2
Ribot T,5,5,2
Thoma D,5,5,2
Mersch D,5,5,2
Husserl E,1188,3028,3
Zahavi D,286,428,3
Scheler M,168,252,3
Bernet R,159,212,3
Fink E,157,220,3
Spiegelberg H,129,151,3
Brentano F,123,174,3
Sokolowski R,113,146,3
Waldenfels B,113,158,3
Moran D,107,124,3
Steinbock A,105,160,3
Patocka J,105,182,3
Schutz A,103,140,3
Depraz N,99,115,3
Drummond J,97,141,3
Mohanty J,95,120,3
Gurwitsch A,95,117,3
Smith D,90,114,3
Carr D,90,111,3
Stein E,89,119,3
Wittgenstein L,181,236,4
Dreyfus H,178,304,4
Carman T,48,60,4
Kelly S,35,50,4
Wrathall M,27,30,4
Blattner W,23,31,4
Rouse J,19,23,4
Mulhall S,17,21,4
Schear J,13,14,4
Valery P,13,14,4
Gier N,11,11,4
Romdenhromluc K,11,15,4
Dreyfus S,11,11,4
Moore A,10,11,4
Olafson F,10,11,4
Todes S,10,12,4
Feenberg A,9,8,4
Gibson W,9,11,4
Winch P,9,10,4
Matherne S,8,8,4
Glock H,8,9,4
Hacker P,8,10,4
Davis B,8,8,4
Longuenesse B,8,8,4
Freeman L,8,9,4
Cooper D,8,12,4
Wilson D,8,9,4
Black M,8,8,4
Urmson J,8,9,4
Gordon P,8,10,4
Richir M,66,105,5
Quine W,53,82,5
Danto A,25,34,5
Einstein A,16,16,5
Cerbone D,14,16,5
Hadot P,13,15,5
Rota G,12,21,5
Laplanche J,9,10,5
Maddy P,9,12,5
Newton I,9,13,5
Galilei G,9,13,5
Nozick R,8,8,5
Varela P,6,7,5
Forestier F,6,6,5
Carlson S,6,5,5
Wolin R,6,7,5
Finlay L,6,6,5
Serres M,6,6,5
Wu K,5,6,5
Brown T,5,5,5
Emerson R,5,5,5
Lakatos I,5,5,5
Trout J,5,5,5
Church A,5,5,5
May R,5,5,5
Salmon W,5,5,5
Watson B,5,5,5
Hallett M,5,5,5
Dickie G,5,5,5
Albertazzi L,9,9,6
Metzger W,7,8,6
Riemann B,7,7,6
Von Helmholtz H,6,6,6
Koenderink J,5,5,6
Bekoff M,5,5,6
Uttal W,5,6,6
Tonnessen M,4,4,6
Harris S,4,4,6
Von Hildebrand A,4,4,6
Kanizsa G,4,4,6
Goldstein B,3,3,6
Mausfeld R,3,4,6
Penn D,3,3,6
Garcia B,3,3,6
Hill R,3,3,6
Nakayama K,2,2,6
Cavanagh P,2,2,6
Laughlin R,2,2,6
Epstein W,2,2,6
Kovacs I,2,2,6
Kubovy M,2,2,6
Speth J,2,2,6
Smirnov A,2,2,6
Jones J,2,2,6
Berry T,2,3,6
Bai H,2,2,6
Barron A,2,2,6
Cajete G,2,2,6
Fiske S,2,2,6
Goodall J,2,2,6
Gray H,2,2,6
Kellert S,2,2,6
Plumwood V,2,2,6
Reichholf J,2,2,6
Robinson K,2,2,6
Blakemore C,2,2,6
Burigana L,2,2,6
Vicario G,2,2,6
Kepler J,2,2,6
Field D,2,2,6
Maffei L,2,2,6
Musatti C,2,2,6
Sivik L,2,2,6
Olgiati F,2,2,7
Gemelli A,2,2,7
Zamboni G,2,2,7
Marcolungo F,0,0,7
Merleauponty M,703,1289,8
Sartre J,317,454,8
Foucault M,139,184,8
Deleuze G,119,166,8
Barbaras R,93,126,8
Freud S,92,113,8
Bergson H,91,115,8
Butler J,80,108,8
Casey E,62,77,8
Lyotard J,52,66,8
Lacan J,51,69,8
Young I,49,65,8
Lawlor L,47,61,8
Bachelard G,43,58,8
Ihde D,42,56,8
Irigaray L,38,47,8
Dillon M,36,46,8
Bourdieu P,36,39,8
Badiou A,35,40,8
Leder D,35,38,8
Kerszberg P,6,6,9
Schelling,5,5,9
Belaval Y,3,3,9
Janaway C,3,4,9
Vandenabeele B,2,2,9
Alexander I,2,1,9
Kossler M,2,2,9
Ansermet E,2,2,9
Boyer J,2,2,9
Hubscher A,2,2,9
Hallie P,2,2,9
Bonnet C,2,2,9
Gouhier H,2,2,9
Detracy D,2,2,9
Kleist E,0,0,9
Felix F,0,0,9
Garfield J,14,20,10
Bohm D,11,13,10
Dreyfus G,11,15,10
Siderits M,10,14,10
Williams P,10,10,10
Ganeri J,9,18,10
Lysenko V,7,6,10
Bodhi B,7,8,10
Smart N,7,7,10
Heim M,6,6,10
Paul R,6,6,10
Gethin R,6,7,10
Arnold D,6,8,10
Harvey P,6,6,10
King R,6,6,10
Matilal B,6,10,10
Radhakrishnan S,5,5,10
Zimmer H,5,5,10
Flood G,5,5,10
Potter K,5,6,10
Lusthaus D,5,5,10
Schmithausen L,5,6,10
Hopkins J,5,6,10
Sheldrake R,5,6,10
Passmore J,5,5,10
Corbin H,5,7,10
Hornedo F,1,2,11
Altez,0,0,11
Peirce C,34,67,12
Bennett J,17,17,12
Eco U,13,14,12
Kandel E,11,15,12
Anderson M,10,10,12
Hookway C,10,11,12
Hartshorne C,9,9,12
De T,8,10,12
Rescher N,8,8,12
Stjernfelt F,8,10,12
Bloch E,7,9,12
Colapietro V,7,8,12
Rossi P,7,7,12
Deely J,7,8,12
