name,degree,strength,community
HUSSERL E,1188,3028,7
HEIDEGGER M,831,1411,1
MERLEAUPONTY M,703,1289,3
KANT I,378,487,4
SARTRE J,317,454,3
DERRIDA J,304,461,1
HEGEL G,300,482,4
ZAHAVI D,286,428,7
LEVINAS E,282,472,1
RICOEUR P,271,391,1
GALLAGHER S,240,350,2
GADAMER H,207,283,1
WITTGENSTEIN L,181,236,6
DREYFUS H,178,304,2
SCHELER M,168,252,7
JAMES W,162,188,5
HENRY M,161,280,1
BERNET R,159,212,7
FINK E,157,220,7
MARION J,157,300,1
SEARLE J,145,210,5
DENNETT D,144,229,5
DESCARTES R,142,164,1
ARISTOTLE,142,158,1
FOUCAULT M,139,184,3
VARELA F,136,266,2
NIETZSCHE F,136,172,1
MCDOWELL J,131,187,5
SPIEGELBERG H,129,151,7
BRENTANO F,123,174,7
DELEUZE G,119,166,3
SOKOLOWSKI R,113,146,7
WALDENFELS B,113,158,3
CHALMERS D,113,172,5
THOMPSON E,112,146,2
MORAN D,107,124,7
STEINBOCK A,105,160,7
PATOCKA J,105,182,1
NOE A,105,145,2
SCHUTZ A,103,140,8
ARENDT H,101,138,1
NAGEL T,101,112,5
DEPRAZ N,99,115,2
TYE M,98,159,5
DRUMMOND J,97,141,7
HABERMAS J,96,122,4
MOHANTY J,95,120,7
GURWITSCH A,95,117,7
BARBARAS R,93,126,3
CLARK A,93,107,2
