Source,Target,Weight
GERASIMOVA I,<U+0413><U+041E><U+0420><U+041E><U+0425><U+041E><U+0412> <U+0412><U+0418><U+0422><U+0410><U+041B><U+0418><U+0419> <U+0413><U+0415><U+041E><U+0420><U+0413><U+0418><U+0415><U+0412><U+0418><U+0427> GOROKHOV VG,1
KLYUKANOV I,<U+0413><U+0423><U+0411><U+041C><U+0410><U+041D> <U+0411><U+041E><U+0420><U+0418><U+0421> <U+041B><U+042C><U+0412><U+041E><U+0412><U+0418><U+0427> GUBMAN BORIS,1
KARPENKO I,<U+041A><U+0410><U+0420><U+041F><U+0415><U+041D><U+041A><U+041E> <U+0410><U+041B><U+0415><U+041A><U+0421><U+0410><U+041D><U+0414><U+0420> <U+0421><U+0422><U+0415><U+041F><U+0410><U+041D><U+041E><U+0412><U+0418><U+0427> KARPENKO AS,1
KARPENKO I,<U+041A><U+0410><U+0420><U+041F><U+0415><U+041D><U+041A><U+041E> <U+0418><U+0412><U+0410><U+041D> <U+0410><U+041B><U+0415><U+041A><U+0421><U+0410><U+041D><U+0414><U+0420><U+041E><U+0412><U+0418><U+0427> KARPENKO IVAN,1
DEBLASIO A,<U+041A><U+0423><U+0421><U+041B><U+0418><U+0419> <U+041F><U+0415><U+0422><U+0420> <U+0421><U+0415><U+0420><U+0413><U+0415><U+0415><U+0412><U+0418><U+0427> KUSLIY PETR,1
BERNASCONI R,1705,1
HOFFHEIMER M,1791,1
TIMMERMANS B,1842,1
STEMBERGER M,1861,1
GLINKA H,1869,1
LANDGREBE L,1887,1
WALDENFELS B,1906,1
CASSEDY S,1908,1
CASSEDY S,1909,1
MARBACH E,1911,1
KISIEL T,1912,1
BEGOUT B,1913,1
CAMILLERI S,1913,1
FUNKE G,1913,1
LAMB A,1913,1
DENNES M,1916,1
KISIEL T,1916,1
BEAUVAIS C,1917,1
LANDGREBE L,1918,1
TUNSTALL D,1918,1
CAMILLERI S,1919,1
LUFT S,1919,1
CIOCAN C,1920,1
ORTH E,1920,1
BEAUVAIS C,1922,1
BECKMANN-ZOLLER B,1922,1
SOUTIF L,1922,1
STEINER P,1922,1
BOEHM R,1924,1
CONILL-SANCHO J,1924,1
MARBACH E,1924,1
BEAUVAIS C,1925,1
CHENAVIER R,1925,1
SMYTH B,1926,1
CAMILLERI S,1927,1
HARRIS E,1927,1
KVASZ L,1927,1
LANDGREBE L,1927,1
SHARKEY S,1927,1
LUFT S,1928,1
CIBULKA J,1929,1
MORAN D,1929,1
SPIEGELBH,1929,1
GLINKA H,1931,1
HUSSERL E,1931,1
PETERS C,1933,1
WATSON S,1933,1
BARBARAS R,1934,1
ROBINSON H,1934,1
ZELENY J,1935,1
ZELENY J,1936,1
LUFT S,1937,1
NAVICKAS J,1937,1
BARBARAS R,1938,1
BERNASCONI R,1938,1
KVASZ L,1938,1
LUFT S,1939,1
SCHALLER K,1941,1
TIMMERMANS B,1941,1
BASSO E,1942,1
FUNKE G,1942,1
BLUMENKRANZ M,1945,1
LOCKE P,1945,1
MARMASSE G,1946,1
BEAUVAIS C,1947,1
MARCUS J,1947,1
MINAZZI F,1947,1
STRASSER S,1947,1
BARBARAS R,1948,1
HATEM J,1948,1
MCHENRY L,1948,1
PAUZA M,1948,1
BAEYENS F,1949,1
BRATU H,1949,1
DALISSIER M,1949,1
ERGINEL M,1949,1
JANSSEN P,1949,1
ATGER P,1950,1
BEAUVAIS C,1950,1
CHENAVIER R,1950,1
PAUZA M,1950,1
RUSH F,1950,1
SHARKEY S,1950,1
BARBARAS R,1951,1
TOADVINE T,1951,1
BEAUVAIS C,1952,1
KUNG G,1952,1
MORAN D,1952,1
PAUZA M,1952,1
BARBARAS R,1953,1
D'HONDT J,1953,1
HIMANKA J,1953,1
PETERS C,1953,1
BEGOUT B,1954,1
BEITES P,1954,1
FERRETTI G,1954,1
FUNKE G,1954,1
GONZALEZ F,1954,1
GRONDIN V,1954,1
MARION J,1954,1
NAVICKAS J,1954,1
CHENAVIER R,1955,1
FERRETTI G,1955,1
KOTATKO P,1955,1
SEEMAN D,1955,1
ROBERT J,1956,1
FERRETTI G,1957,1
FURTAK R,1957,1
HAMMOND D,1957,1
JANSSEN P,1957,1
KISIEL T,1957,1
MURRAY M,1957,1
SANDKAULEN B,1957,1
BOROBIA J,1958,1
HOFFHEIMER M,1958,1
KLEIST E,1958,1
RUSSON J,1958,1
SEYLER F,1958,1
CAPUTO J,1959,1
FLAY J,1959,1
FURTAK R,1959,1
HEINAMAA S,1959,1
MULLARKEY J,1959,1
PEREGO V,1959,1
STRASSER S,1959,1
BEAUVAIS C,1960,1
BOEHM R,1960,1
DALISSIER M,1960,1
DWYER D,1960,1
GINGRANDE A,1960,1
JANSSEN P,1960,1
LAWLOR L,1960,1
OCONNOR R,1960,1
SKOUSGAARD S,1960,1
WILLIAMS H,1960,1
BIMBENET E,1961,1
DONOUGHO M,1961,1
HENGSTENBERG H,1961,1
STEWARD J,1961,1
CHENAVIER R,1962,1
DESPLAND M,1962,1
GENDLIN E,1962,1
LOUZIL J,1962,1
MANOUSSAKIS J,1962,1
SCHALOW F,1962,1
SHARKEY S,1962,1
SOUTIF L,1962,1
VESSEY D,1962,1
WATSON S,1962,1
BEAUVAIS C,1963,1
BERNASCONI R,1963,1
CAPUTO J,1963,1
EVINK E,1963,1
FERRETTI G,1963,1
JANSSEN P,1963,1
MARBACH E,1963,1
MENSCH J,1963,1
RASMUSSEN D,1963,1
SEEMAN D,1963,1
STRASSER S,1963,1
BOEHM R,1964,1
DE B K,1964,1
DONOHOE J,1964,1
KUHN R,1964,1
MARBACH E,1964,1
MARCUS J,1964,1
PEREGO V,1964,1
BOEHM R,1965,1
CAPUTO J,1965,1
CIBULKA J,1965,1
MARBACH E,1965,1
PEREGO V,1965,1
SHARKEY S,1965,1
SKOUSGAARD S,1965,1
SPIEGELBH,1965,1
WANG H,1965,1
BARBARAS R,1966,2
BEGOUT B,1966,1
CHENAVIER R,1966,1
CIBULKA J,1966,1
DENNES M,1966,1
FURTAK R,1966,1
HEINAMAA S,1966,1
HELD K,1966,1
KUHN R,1966,1
LIEBSCH B,1966,1
MICALI S,1966,1
ROBINSON H,1966,1
WALDENFELS B,1966,1
CIOCAN C,1967,1
FUNKE G,1967,1
JANSSEN P,1967,1
LAMB A,1967,1
MARBACH E,1967,1
MENSCH J,1967,1
VESSEY D,1967,1
BENDLOVA P,1968,1
BOEHM R,1968,1
BOURGEOIS P,1968,1
CIBULKA J,1968,1
KISIEL T,1968,1
PAUZA M,1968,1
RENAUDIE P,1968,1
RICHARD P,1968,1
ROBERT J,1968,1
SMILLIE D,1968,1
WELTON D,1968,1
WILLIAMS H,1968,1
BLASCHEK-HAHNOVA H,1969,1
D'HONDT J,1969,1
HART J,1969,1
HOFFMANN T,1969,1
IJSSELING S,1969,1
JANSSEN P,1969,1
LANDGREBE L,1969,1
STANAGE S,1969,1
WESTPHAL M,1969,1
GLINKA H,1970,1
HEINAMAA S,1970,1
HENGSTENBERG H,1970,1
