"Source","Target","Weight"
"ATGER P","1950"," 1"
"BEAUVAIS C","1950"," 1"
"CHENAVIER R","1950"," 1"
"PAUZA M","1950"," 1"
"SHARKEY S","1950"," 1"
"BEGOUT B","1954"," 1"
"BEITES P","1954"," 1"
"FUNKE G","1954"," 1"
"GONZALEZ F","1954"," 1"
"GRONDIN V","1954"," 1"
"MARION J","1954"," 1"
"FURTAK R","1957"," 1"
"HAMMOND D","1957"," 1"
"JANSSEN P","1957"," 1"
"KISIEL T","1957"," 1"
"MURRAY M","1957"," 1"
"CAPUTO J","1959"," 1"
"FLAY J","1959"," 1"
"FURTAK R","1959"," 1"
"HEINAMAA S","1959"," 1"
"MULLARKEY J","1959"," 1"
"PEREGO V","1959"," 1"
"STRASSER S","1959"," 1"
"BEAUVAIS C","1960"," 1"
"BOEHM R","1960"," 1"
"DALISSIER M","1960"," 1"
"DWYER D","1960"," 1"
"JANSSEN P","1960"," 1"
"LAWLOR L","1960"," 1"
"OCONNOR R","1960"," 1"
"SKOUSGAARD S","1960"," 1"
"WILLIAMS H","1960"," 1"
"CHENAVIER R","1962"," 1"
"GENDLIN E","1962"," 1"
"LOUZIL J","1962"," 1"
"MANOUSSAKIS J","1962"," 1"
"SCHALOW F","1962"," 1"
"SHARKEY S","1962"," 1"
"SOUTIF L","1962"," 1"
"VESSEY D","1962"," 1"
"WATSON S","1962"," 1"
"BEAUVAIS C","1963"," 1"
"BERNASCONI R","1963"," 1"
"CAPUTO J","1963"," 1"
"EVINK E","1963"," 1"
"JANSSEN P","1963"," 1"
"MARBACH E","1963"," 1"
"MENSCH J","1963"," 1"
"RASMUSSEN D","1963"," 1"
"SEEMAN D","1963"," 1"
"STRASSER S","1963"," 1"
"BOEHM R","1964"," 1"
"DE B K","1964"," 1"
"DONOHOE J","1964"," 1"
"KUHN R","1964"," 1"
"MARBACH E","1964"," 1"
"MARCUS J","1964"," 1"
"PEREGO V","1964"," 1"
"BOEHM R","1965"," 1"
"CAPUTO J","1965"," 1"
"CIBULKA J","1965"," 1"
"MARBACH E","1965"," 1"
"PEREGO V","1965"," 1"
"SHARKEY S","1965"," 1"
"SKOUSGAARD S","1965"," 1"
"SPIEGELBH","1965"," 1"
"BARBARAS R","1966"," 2"
"BEGOUT B","1966"," 1"
"CHENAVIER R","1966"," 1"
"CIBULKA J","1966"," 1"
"DENNES M","1966"," 1"
"FURTAK R","1966"," 1"
"HEINAMAA S","1966"," 1"
"HELD K","1966"," 1"
"KUHN R","1966"," 1"
"LIEBSCH B","1966"," 1"
"MICALI S","1966"," 1"
"WALDENFELS B","1966"," 1"
"CIOCAN C","1967"," 1"
"FUNKE G","1967"," 1"
"JANSSEN P","1967"," 1"
"LAMB A","1967"," 1"
"MARBACH E","1967"," 1"
"MENSCH J","1967"," 1"
"VESSEY D","1967"," 1"
"BENDLOVA P","1968"," 1"
"BOEHM R","1968"," 1"
"BOURGEOIS P","1968"," 1"
"CIBULKA J","1968"," 1"
"KISIEL T","1968"," 1"
"PAUZA M","1968"," 1"
"RENAUDIE P","1968"," 1"
"ROBERT J","1968"," 1"
"SMILLIE D","1968"," 1"
"WELTON D","1968"," 1"
"WILLIAMS H","1968"," 1"
"BLASCHEK-HAHNOVA H","1969"," 1"
"HART J","1969"," 1"
"HOFFMANN T","1969"," 1"
"IJSSELING S","1969"," 1"
"JANSSEN P","1969"," 1"
"LANDGREBE L","1969"," 1"
"WESTPHAL M","1969"," 1"
"GLINKA H","1970"," 1"
"HEINAMAA S","1970"," 1"
"HENGSTENBERG H","1970"," 1"
"KISIEL T","1970"," 1"
"KUHN R","1970"," 1"
"LEASK I","1970"," 1"
"RODRIGO P","1970"," 1"
"SPIEGELBERG H","1970"," 1"
"DUNSON J","1971"," 1"
"HEINAMAA S","1971"," 1"
"KISIEL T","1971"," 1"
"KUNG G","1971"," 1"
"LORIES D","1971"," 1"
"MOUTSOPOULOS E","1971"," 1"
"NOVELLA E","1971"," 1"
"RASMUSSEN D","1971"," 1"
"ROBERT J","1971"," 1"
"SCHALOW F","1971"," 1"
"WATSON S","1971"," 1"
"ANDERSEN N","1972"," 1"
"BOEHM R","1972"," 1"
"EVINK E","1972"," 1"
"FALQUE E","1972"," 1"
"GUZMAN C","1972"," 1"
"HENGSTENBERG H","1972"," 1"
"JANSSEN P","1972"," 1"
"KRYSZTOFIAK W","1972"," 1"
"KUHN R","1972"," 1"
"KUNG G","1972"," 1"
"RENAUDIE P","1972"," 1"
"ROBERT J","1972"," 1"
"BERNASCONI R","1973"," 1"
"BOEHM R","1973"," 1"
"CIBULKA J","1973"," 1"
"DASTUR F","1973"," 1"
"DONOUGHO M","1973"," 1"
"FALQUE E","1973"," 1"
"MCGUIRK J","1973"," 1"
"SOLOVEV E","1973"," 1"
"WATSON S","1973"," 1"
"BOEHM R","1974"," 1"
"CIBULKA J","1974"," 1"
"GRONDIN V","1974"," 1"
"HEINAMAA S","1974"," 1"
"HELD K","1974"," 1"
"MOHANTY J","1974"," 1"
"SPARROW T","1974"," 1"
"STRASSER S","1974"," 1"
"DALISSIER M","1975"," 1"
"DE B K","1975"," 1"
"DWYER D","1975"," 1"
"JANSSEN P","1975"," 1"
"LEASK I","1975"," 1"
"MOHANTY J","1975"," 1"
"SHANON B","1975"," 1"
"STEWART J","1975"," 1"
"STRASSER S","1975"," 1"
"WALDENFELS B","1975"," 1"
"ATGER P","1976"," 1"
"BERNASCONI R","1976"," 1"
"DEPRAZ N","1976"," 1"
"IJSSELING S","1976"," 1"
"LAUER C","1976"," 1"
"MARBACH E","1976"," 1"
"MENSCH J","1976"," 1"
"SIVAK J","1976"," 1"
"STERLICIII P","1976"," 1"
"VISSER G","1976"," 1"
"WALDENFELS B","1976"," 1"
"BAYEROVA M","1977"," 1"
"BERNASCONI R","1977"," 1"
"CAPUTO J","1977"," 1"
"DWYER D","1977"," 1"
"HAMRICK W","1977"," 1"
"JACKSON J","1977"," 1"
"JANKAUSKAS S","1977"," 1"
"JANSSEN P","1977"," 1"
"MARION J","1977"," 1"
"MOUTSOPOULOS E","1977"," 1"
"NELSON E","1977"," 1"
"SCHALOW F","1977"," 1"
"SCHUBACK M","1977"," 1"
"WESTPHAL M","1977"," 1"
"AL-SAJI A","1978"," 1"
"LUFT S","1978"," 1"
"MURRAY P","1978"," 1"
"SHARKEY S","1978"," 1"
"WALDENFELS B","1978"," 1"
"WESTPHAL M","1978"," 1"
"CHIEREGHIN F","1979"," 1"
"HAMRICK W","1979"," 1"
"HATEM J","1979"," 1"
"MARION J","1979"," 1"
"SEEMAN D","1979"," 1"
"ATGER P","1980"," 1"
"BEAUVAIS C","1980"," 1"
"CIBULKA J","1980"," 1"
"CIOCAN C","1980"," 1"
"LAUER C","1980"," 1"
"MENSCH J","1980"," 1"
"MICALI S","1980"," 1"
"VIOULAC J","1980"," 1"
"WESTPHAL M","1980"," 1"
"BEGOUT B","1982"," 1"
"CIOCAN C","1982"," 1"
"EVINK E","1982"," 1"
"FURTAK R","1982"," 1"
"JANSSEN P","1982"," 1"
"MACHADO R","1982"," 1"
"RENAUDIE P","1982"," 1"
"BERNASCONI R","1983"," 1"
"CIOCAN C","1983"," 1"
"DALISSIER M","1983"," 1"
"DONOUGHO M","1983"," 1"
"GONZALEZ F","1983"," 1"
"MOUTSOPOULOS E","1983"," 1"
"ORTH E","1983"," 1"
"ROTHBERG D","1983"," 1"
"BEITES P","1984"," 1"
"BERNASCONI R","1984"," 1"
"CIBULKA J","1984"," 1"
"CIOCAN C","1984"," 1"
"CLARK T","1984"," 1"
"CONILL-SANCHO J","1984"," 1"
"DONOUGHO M","1984"," 1"
"FURTAK R","1984"," 1"
"LEASK I","1984"," 1"
"LUMSDEN S","1984"," 1"
"MOUTSOPOULOS E","1984"," 1"
"RENAUDIE P","1984"," 1"
"SEEMAN D","1984"," 1"
"SOFFER G","1984"," 1"
"VALKANOV D","1984"," 1"
"VESSEY D","1984"," 1"
"WESTPHAL M","1984"," 1"
"ANDERSEN N","1985"," 1"
"CIOCAN C","1985"," 1"
"DALISSIER M","1985"," 1"
"HATEM J","1985"," 1"
"HELD K","1985"," 1"
"PARK B","1985"," 1"
"POWELL J","1985"," 1"
"SIVAK J","1985"," 1"
"ATGER P","1986"," 1"
"BEITES P","1986"," 1"
"CAMILLERI S","1986"," 1"
"CIOCAN C","1986"," 1"
"DONOUGHO M","1986"," 1"
"FALQUE E","1986"," 1"
"GONZALEZ F","1986"," 1"
"MORROW D","1986"," 1"
"WALDENFELS B","1986"," 1"
"BEAUVAIS C","1987"," 1"
"BERGO B","1987"," 1"
"BLASCHEK-HAHNOVA H","1987"," 1"
"CHENAVIER R","1987"," 1"
"CIBULKA J","1987"," 1"
"DONOUGHO M","1987"," 1"
"ERGINEL M","1987"," 1"
"EVINK E","1987"," 1"
"SEEMAN D","1987"," 1"
"STAEHLER T","1987"," 1"
"WALDENFELS B","1987"," 1"
"BARBARAS R","1988"," 1"
"BEITES P","1988"," 1"
"CHENAVIER R","1988"," 1"
"CIOCAN C","1988"," 1"
"CRESPO M","1988"," 1"
"FURTAK R","1988"," 1"
"GONZALEZ F","1988"," 1"
"HATEM J","1988"," 1"
"KAMECKE G","1988"," 1"
"LAUER C","1988"," 1"
"LIEBSCH B","1988"," 1"
"LUFT S","1988"," 1"
"OVERGAARD S","1988"," 1"
"SAVIN A","1988"," 1"
"SCHUBACK M","1988"," 1"
"THERIEN C","1988"," 1"
"WALDENFELS B","1988"," 1"
"BEITES P","1989"," 1"
"CASSEDY S","1989"," 1"
"CHENAVIER R","1989"," 1"
"DAUJOTYTE-PAKERIENE V","1989"," 1"
"DONOUGHO M","1989"," 1"
"GENOVA A","1989"," 1"
"HATEM J","1989"," 1"
"HAVERKAMP A","1989"," 1"
"HERRERA H","1989"," 1"
"LAFAYE C","1989"," 1"
"MORROW D","1989"," 1"
"PARK B","1989"," 1"
"PETITOT J","1989"," 1"
"SOUTIF L","1989"," 1"
"TIN M","1989"," 1"
"TULCHINSKII G","1989"," 2"
"VESSEY D","1989"," 1"
"ZIRION A","1989"," 1"
"BEAUVAIS C","1990"," 1"
"BEITES P","1990"," 1"
"CASSEDY S","1990"," 1"
"CHENAVIER R","1990"," 1"
"COURCIER J","1990"," 1"
"DUNSON J","1990"," 1"
"EVINK E","1990"," 1"
"KOHAK E","1990"," 1"
"MARDER M","1990"," 1"
"MIETTINEN T","1990"," 1"
"RICCI G","1990"," 1"
"RICOEUR P","1990"," 1"
"SEEMAN D","1990"," 1"
"THOMSON I","1990"," 1"
"TRUTTY-COOHILL P","1990"," 1"
"TYMAN S","1990"," 1"
"WALDENFELS B","1990"," 1"
"CASSEDY S","1991"," 1"
"COURCIER J","1991"," 1"
"HORGAN T","1991"," 1"
"KOHAK E","1991"," 1"
"KUZNETSOV V","1991"," 1"
"MARION J","1991"," 1"
"MASTERSON P","1991"," 1"
"MORROW D","1991"," 1"
"PARK B","1991"," 1"
"PEREGO V","1991"," 1"
"SEEMAN D","1991"," 1"
"STOKES P","1991"," 1"
"TRUTTY-COOHILL P","1991"," 1"
"TULCHINSKII G","1991"," 1"
"WESTPHAL M","1991"," 1"
"ZIRION A","1991"," 1"
"CAMILLERI S","1992"," 1"
"CIOCAN C","1992"," 1"
"FURTAK R","1992"," 1"
"KOHAK E","1992"," 1"
"KUHN R","1992"," 2"
"MCDOWELL J","1992"," 1"
"MCGUIRK J","1992"," 1"
"MCHENRY L","1992"," 1"
"MENSCH J","1992"," 2"
"MROZ P","1992"," 1"
"TULCHINSKII G","1992"," 2"
"WATSON S","1992"," 1"
"ANDERSEN N","1993"," 1"
"BEITES P","1993"," 1"
"CIBULKA J","1993"," 1"
"CIOCAN C","1993"," 1"
"CONILL-SANCHO J","1993"," 1"
"CURZER H","1993"," 1"
"DASTUR F","1993"," 1"
"DENNES M","1993"," 1"
"FURTAK R","1993"," 1"
"GENOVA A","1993"," 1"
"LAUER C","1993"," 1"
"MARDER M","1993"," 1"
"MORAN D","1993"," 1"
"MORROW D","1993"," 2"
"NELSON E","1993"," 1"
"O'CONNOR P","1993"," 1"
"OVERGAARD S","1993"," 1"
"POWELL J","1993"," 1"
"RENAUDIE P","1993"," 1"
"SEIFERT J","1993"," 1"
"TULCHINSKII G","1993"," 2"
"ZNOJ M","1993"," 1"
"[ANONYMOUS]","1994"," 1"
"ANDERSEN N","1994"," 1"
"ANGEL L","1994"," 1"
"ANGELINO L","1994"," 1"
"BLECHA I","1994"," 1"
"CAMILLERI S","1994"," 1"
"CLARK T","1994"," 1"
"DASTUR F","1994"," 1"
"FURTAK R","1994"," 1"
"GJESDAL K","1994"," 1"
"HART J","1994"," 1"
"HELD K","1994"," 1"
"KUZNETSOV V","1994"," 1"
"LUFT S","1994"," 1"
"MCDOWELL J","1994"," 1"
"NELSON E","1994"," 1"
"O'CONNOR P","1994"," 1"
"RENAUDIE P","1994"," 1"
"SCHALOW F","1994"," 1"
"SEEMAN D","1994"," 1"
"WALDENFELS B","1994"," 1"
"WILLIAMS H","1994"," 1"
"BEITES P","1995"," 1"
"CAMILLERI S","1995"," 1"
"CLARK T","1995"," 1"
"CONKLIN W","1995"," 1"
"DE B K","1995"," 1"
"GJESDAL K","1995"," 1"
"HEINAMAA S","1995"," 1"
"KOHAK E","1995"," 1"
"MORROW D","1995"," 1"
"O'CONNOR P","1995"," 1"
"RASMUSSEN D","1995"," 1"
"SAVIN A","1995"," 1"
"SEEMAN D","1995"," 1"
"TULCHINSKII G","1995"," 1"
"WALDENFELS B","1995"," 1"
"ASMUTH C","1996"," 1"
"BEITES P","1996"," 1"
"BERNASCONI R","1996"," 1"
"DUNSON J","1996"," 1"
"FURTAK R","1996"," 1"
"GONZALEZ F","1996"," 1"
"MCHENRY L","1996"," 1"
"MORROW D","1996"," 1"
"TULCHINSKII G","1996"," 2"
"VESSEY D","1996"," 1"
"ANGEL L","1997"," 1"
"BAIASU R","1997"," 1"
"BIMBENET E","1997"," 1"
"CAMILLERI S","1997"," 1"
"CLARK T","1997"," 1"
"DENNES M","1997"," 1"
"GENDLIN E","1997"," 1"
"GONZALEZ F","1997"," 1"
"GROSSMAN P","1997"," 1"
"JANICAUD D","1997"," 1"
"KOHAK E","1997"," 1"
"MCDOWELL J","1997"," 1"
"MORRIS D","1997"," 1"
"MORROW D","1997"," 1"
"O'CONNOR P","1997"," 1"
"RICCI G","1997"," 1"
"SAVIN A","1997"," 1"
"SCHALOW F","1997"," 1"
"SEIFERT J","1997"," 1"
"SMITH N","1997"," 1"
"STOKES P","1997"," 1"
"VISSER G","1997"," 1"
"WALDENFELS B","1997"," 1"
"WOOD D","1997"," 1"
"BAIASU R","1998"," 1"
"BEAUVAIS C","1998"," 1"
"BEITES P","1998"," 1"
"CALCAGNO A","1998"," 1"
"CHENAVIER R","1998"," 1"
"DENNES M","1998"," 1"
"DWYER D","1998"," 1"
"GONZALEZ F","1998"," 1"
"POWELL J","1998"," 1"
"RUSSON J","1998"," 1"
"VERMERSCH P","1998"," 1"
"WALDENFELS B","1998"," 2"
"WESTPHAL M","1998"," 1"
"WILLIAMS H","1998"," 1"
"COURCIER J","1999"," 1"
"DWYER D","1999"," 1"
"FERRETTI M","1999"," 1"
"GJESDAL K","1999"," 1"
"GREGOR B","1999"," 1"
"HELD K","1999"," 1"
"JARCZYK G","1999"," 1"
"KOSKY J","1999"," 1"
"LORIES D","1999"," 1"
"PEREGO V","1999"," 1"
"SCHALOW F","1999"," 1"
"SOUTIF L","1999"," 1"
"THOMSON I","1999"," 1"
"TRUTTY-COOHILL P","1999"," 1"
"WALDENFELS B","1999"," 1"
"BECKMANN-ZOLLER B","2000"," 1"
"BEITES P","2000"," 1"
"CAMILLERI S","2000"," 2"
"CHIEREGHIN F","2000"," 1"
"CRESPO M","2000"," 1"
"GONZALEZ F","2000"," 1"
"KOSKY J","2000"," 1"
"KUHN R","2000"," 1"
"LLEWELYN J","2000"," 1"
"MARION J","2000"," 1"
"MORROW D","2000"," 1"
"PEREGO V","2000"," 1"
"REDMOND W","2000"," 1"
"RICOEUR P","2000"," 1"
"SEBBAH F","2000"," 1"
"THOMSON I","2000"," 1"
"TRUTTY-COOHILL P","2000"," 1"
"VAN H P","2000"," 1"
"[ANONYMOUS]","2001"," 1"
"CAMILLERI S","2001"," 1"
"DONOUGHO M","2001"," 1"
"EVINK E","2001"," 1"
"FALQUE E","2001"," 1"
"FURTAK R","2001"," 1"
"GREGOR B","2001"," 1"
"HANSON J","2001"," 1"
"JACKSON J","2001"," 1"
"LAMB A","2001"," 1"
"LAUER C","2001"," 1"
"LAWLOR L","2001"," 1"
"MARION J","2001"," 1"
"MCDOWELL J","2001"," 1"
"MORRIS D","2001"," 1"
"RENAUDIE P","2001"," 1"
"STERLICIII P","2001"," 1"
"STOKES P","2001"," 1"
"TUNSTALL D","2001"," 1"
"WALDENFELS B","2001"," 1"
"WESTPHAL M","2001"," 1"
"WILLIAMS H","2001"," 1"
"CALCAGNO A","2002"," 1"
"CAMILLERI S","2002"," 2"
"COURCIER J","2002"," 1"
"CRESPO M","2002"," 1"
"DE B K","2002"," 1"
"DONOUGHO M","2002"," 1"
